DATE,EMVMACROCONSUME
2000-01-01,1.34651
2000-02-01,1.81564
2000-03-01,1.86462
2000-04-01,3.97031
2000-05-01,3.77392
2000-06-01,3.04185
2000-07-01,1.27048
2000-08-01,2.18270
2000-09-01,0.58957
2000-10-01,2.95774
2000-11-01,4.87481
2000-12-01,7.08679
2001-01-01,4.58027
2001-02-01,3.86478
2001-03-01,6.01034
2001-04-01,4.06118
2001-05-01,4.11606
2001-06-01,1.57081
2001-07-01,1.96765
2001-08-01,2.50317
2001-09-01,11.20747
2001-10-01,5.86759
2001-11-01,4.51557
2001-12-01,2.67351
2002-01-01,3.19670
2002-02-01,2.09484
2002-03-01,2.39750
2002-04-01,2.17469
2002-05-01,1.82716
2002-06-01,2.57964
2002-07-01,6.69494
2002-08-01,6.37243
2002-09-01,5.80692
2002-10-01,4.67128
2002-11-01,4.83214
2002-12-01,3.29739
2003-01-01,4.50900
2003-02-01,2.00018
2003-03-01,5.37281
2003-04-01,3.81251
2003-05-01,3.04178
2003-06-01,1.85675
2003-07-01,1.34178
2003-08-01,2.05155
2003-09-01,1.33510
2003-10-01,1.57484
2003-11-01,0.76694
2003-12-01,1.80239
2004-01-01,1.69163
2004-02-01,0.77942
2004-03-01,1.25762
2004-04-01,1.44298
2004-05-01,1.67252
2004-06-01,1.87991
2004-07-01,1.16599
2004-08-01,2.21871
2004-09-01,1.48115
2004-10-01,1.34711
2004-11-01,1.25674
2004-12-01,2.21616
2005-01-01,1.56761
2005-02-01,0.66359
2005-03-01,1.00979
2005-04-01,2.45404
2005-05-01,1.68971
2005-06-01,1.04524
2005-07-01,1.22982
2005-08-01,2.68310
2005-09-01,2.25162
2005-10-01,2.36108
2005-11-01,1.91588
2005-12-01,1.62286
2006-01-01,2.04519
2006-02-01,0.80914
2006-03-01,0.97703
2006-04-01,1.50895
2006-05-01,2.21477
2006-06-01,1.36734
2006-07-01,2.01679
2006-08-01,2.40113
2006-09-01,1.62650
2006-10-01,1.48755
2006-11-01,1.35728
2006-12-01,1.69294
2007-01-01,1.75916
2007-02-01,1.87987
2007-03-01,3.12582
2007-04-01,2.47878
2007-05-01,1.23038
2007-06-01,1.77072
2007-07-01,2.63485
2007-08-01,5.78020
2007-09-01,3.90367
2007-10-01,2.48956
2007-11-01,4.27126
2007-12-01,4.26872
2008-01-01,5.59876
2008-02-01,3.44828
2008-03-01,2.75110
2008-04-01,1.59180
2008-05-01,1.99250
2008-06-01,2.08187
2008-07-01,2.76130
2008-08-01,1.87642
2008-09-01,2.30337
2008-10-01,6.71490
2008-11-01,5.10978
2008-12-01,3.02894
2009-01-01,2.44302
2009-02-01,1.79662
2009-03-01,2.57393
2009-04-01,2.32054
2009-05-01,2.72241
2009-06-01,1.55705
2009-07-01,2.35408
2009-08-01,2.95700
2009-09-01,1.78319
2009-10-01,1.86334
2009-11-01,1.95373
2009-12-01,1.36452
2010-01-01,1.64433
2010-02-01,1.33137
2010-03-01,1.34127
2010-04-01,1.82241
2010-05-01,2.25824
2010-06-01,1.76130
2010-07-01,2.60876
2010-08-01,1.64782
2010-09-01,1.24708
2010-10-01,1.14135
2010-11-01,1.70610
2010-12-01,1.81103
2011-01-01,0.97349
2011-02-01,1.03661
2011-03-01,1.17473
2011-04-01,0.77581
2011-05-01,1.06952
2011-06-01,2.01463
2011-07-01,2.21251
2011-08-01,9.42324
2011-09-01,3.42581
2011-10-01,3.06520
2011-11-01,1.81692
2011-12-01,1.75645
2012-01-01,1.69226
2012-02-01,1.35242
2012-03-01,1.53022
2012-04-01,0.58833
2012-05-01,0.86903
2012-06-01,2.05339
2012-07-01,1.76427
2012-08-01,1.17352
2012-09-01,0.91543
2012-10-01,1.34279
2012-11-01,0.81618
2012-12-01,2.09061
2013-01-01,1.27454
2013-02-01,1.02203
2013-03-01,1.09496
2013-04-01,1.11006
2013-05-01,1.49097
2013-06-01,1.70833
2013-07-01,1.10077
2013-08-01,1.39205
2013-09-01,1.54325
2013-10-01,2.73148
2013-11-01,0.92509
2013-12-01,1.42330
2014-01-01,1.65720
2014-02-01,0.58621
2014-03-01,0.95290
2014-04-01,0.97949
2014-05-01,0.93564
2014-06-01,0.98203
2014-07-01,0.65512
2014-08-01,1.05655
2014-09-01,0.44745
2014-10-01,2.74165
2014-11-01,0.90060
2014-12-01,1.09466
2015-01-01,2.36735
2015-02-01,0.79211
2015-03-01,0.58116
2015-04-01,0.81532
2015-05-01,1.04912
2015-06-01,0.93294
2015-07-01,1.92845
2015-08-01,3.39471
2015-09-01,1.68631
2015-10-01,1.71398
2015-11-01,0.63281
2015-12-01,1.19183
2016-01-01,3.54819
2016-02-01,2.34446
2016-03-01,1.20585
2016-04-01,0.43834
2016-05-01,0.87374
2016-06-01,0.95897
2016-07-01,0.98534
2016-08-01,0.61429
2016-09-01,0.84439
2016-10-01,0.79298
2016-11-01,0.57388
2016-12-01,0.29927
2017-01-01,1.03716
2017-02-01,0.66318
2017-03-01,0.76012
2017-04-01,0.82827
2017-05-01,0.38684
2017-06-01,0.44061
2017-07-01,0.88319
2017-08-01,1.06146
2017-09-01,0.25864
2017-10-01,0.62619
2017-11-01,0.36872
2017-12-01,1.36368
2018-01-01,0.72071
2018-02-01,1.34983
2018-03-01,0.98378
2018-04-01,0.62406
2018-05-01,0.38271
2018-06-01,1.01961
