index,sentence,year,label,pred_labels,Matches,,,,
554,Most other market interest rates declined further on balance over the period in an atmosphere of greater volatility in financial markets.,2021,0,0,1,,,,
293,"In agriculture, depressed levels of crop prices and weak global demand continued to weaken farm income.",2017,0,2,0,,,,
900,"The real federal funds rate probably was not greatly out of line with its appropriate level, and the rise in longer-term interest rates and the exchange rate meant that financial conditions were now exerting more restraint than earlier this year.",2011,1,1,1,,,,
211,Developments during the Second Period: 1998-2007 Research during the past ten years has been very fruitful in expanding the profession's understanding of the implications of uncertainty for the design and conduct of monetary policy.,1999,2,2,1,,,,
638,Productivity and the equilibrium real interest rate.,2001,2,2,1,,,,
407,"In fact, applying a formal regression analysis to the full sample from 1989 to 2002, we found a number fairly close to this one, namely, a stock price multiplier for monetary policy of about 4.7.",2022,2,2,1,,,,
212,Does the rapid growth in cross-border capital flows limit or even eliminate the ability of domestic monetary policy to affect domestic interest rates?,1999,2,2,1,,,,
947,The unemployment rate fell to 5.,2003,1,2,0,,,,
914,The significant decreases that had occurred in the prices of fuel oil and gasoline were a positive factor that would continue to bolster household spending for a while.,1997,2,0,0,,,,
718,Several participants commented that the factors that had contributed to low inflation during the previous expansion could again exert more downward pressure on inflation than expected.,2010,0,0,1,,,,
11,"And I really don’t have much for you other than to say that they will be data dependent—that, over time, the stance of policy will be adjusted to try to keep the economy on a track where we see continuing progress toward achieving our goals of maximum employment and price stability.",2019,1,2,0,,,,
509,Members also agreed that there was only a remote possibility that the process of disinflation would cumulate to the point of a decline for an extended period in the general price level.,1998,2,2,1,,,,
665,"September 01, 2020 Bringing the Statement on Longer-Run Goals and Monetary Policy Strategy into Alignment with Longer-Run Changes in the Economy Governor Lael Brainard At ""How the Fed Will Respond to the COVID-19 Recession in an Era of Low Rates and Low Inflation,"" an event hosted by the Hutchins Center on Fiscal and Monetary Policy at the Brookings Institution, Washington, D.C. (via webcast) Share Watch Live I want to thank David Wessel for hosting this event.",2006,2,2,1,,,,
316,"In furtherance of these objectives, the Committee at its meeting in July reaffirmed the ranges it had established in January for growth of M2 and M3 of 1 to 5 percent and 2 to 6 percent respectively, measured from the fourth quarter of 1995 to the fourth quarter of 1996.",2017,2,2,1,,,,
869,This role is largely a reflection of the New York Fed's responsibility for implementing monetary policy decisions through its open market desk operations.,1999,2,2,1,,,,
683,Rapid increases in healthcare and other insurance costs and the lagged passthrough of large increases in oil prices would tend to maintain upward pressure on prices.,2005,1,1,1,,,,
574,"Nonetheless, given a recovery in U. S. domestic demand approximating their current forecasts, growth in imports likely would exceed that of exports by a wide margin over the forecast horizon.",2014,1,2,0,,,,
346,"I have downplayed the role of the U.S. federal budget deficit today, and I disagree with the view, sometimes heard, that balancing the federal budget by itself would largely defuse the current account issue.",2003,2,2,1,,,,
240,"The asset purchases are about creating some near-term momentum in the economy, trying to strengthen growth and job creation in the near term, and the increases in the federal funds rate target, when they ultimately occur, are about reducing accommodation.",2012,1,1,1,,,,
624,"Overall, though shifts in business attitudes are difficult to measure, I believe that markets reward businesses that outperform their competitors and that, as demand picks up, companies will respond to opportunities to incorporate technological advances in production, communication, and organization.",2007,2,2,1,,,,
284,"In July, the range for M3 had been raised by two percentage points to reflect developments that seemed to be fostering a return to the historical pattern of somewhat faster growth in M3 than in M2.",2006,0,2,0,,,,
356,I will then discuss the prospects for adjusting monetary policy in the manner needed to sustain a strong job market while maintaining low and stable inflation.,2001,0,2,0,,,,
885,The near-term forecast again entailed a marked downshift in headline inflation as energy prices fall back consistent with readings from futures markets.,2016,0,0,1,,,,
722,"The Federal Reserve is taking action to keep inflation expectations anchored and bring inflation back to 2 percent over time.1 While last year's rapid pace of economic growth was boosted by accommodative fiscal and monetary policy as well as reopening, demand has moderated this year as those tailwinds have abated.",2007,1,1,1,,,,
181,"PCE core is at about 2, and I think we see that, you know, the temporary increase in headline inflation as being a function of oil prices probably, and we expect inflation to go back down to 2 percent.",2012,1,2,0,,,,
149,"But even for many other workers, a rapidly evolving work environment in which the skill demands of their jobs are changing can lead to very real anxiety and insecurity about losing their jobs.",2021,2,2,1,,,,
675,"So, what are the implications for monetary policy?",2022,2,2,1,,,,
428,"In short, rising commodity prices are a better signal of strengthening economic activity than of inflation at the consumer level.",2021,1,2,0,,,,
726,The International Monetary Fund projects that global economic growth in 2019 will be the slowest since the financial crisis.,2020,0,2,0,,,,
563,Most FOMC participants anticipate that inflation will gradually move up to the FOMC's 2 percent target over coming years.,2013,0,2,0,,,,
700,"Reinforcing this outlook was recent evidence of somewhat faster than anticipated productivity growth, the prospect that world economic conditions would hold down energy prices, and a sharp drop in near-term inflation expectations of households as reported in recent surveys.",2012,0,2,0,,,,
889,"The ongoing public health crisis will weigh heavily on economic activity, employment, and inflation in the near term, and poses considerable risks to the economic outlook over the medium term.",2016,0,0,1,,,,
719,"The Federal Open Market Committee (FOMC) has been responsible for monetary policy decisions in the United States since it was established by the Banking Act of 1935, two decades after the founding of the Fed itself.2 The movement toward committees reflects the advantages of committees in aggregating a wide range of information, perspectives, and models.",2007,2,2,1,,,,
73,"And, by the end of this year, I support having the policy rate at a level above neutral so that it is reducing demand for products and labor, bringing it more in line with supply and thus helping rein in inflation.",2000,1,1,1,,,,
