sentence,date,label,score
Measures of longer-run inflation expectations from the Desk's Survey of Primary Dealers and Survey of Market Participants were unchanged in October.,2016-11-02,DOVISH,0.9085465669631958
Foreign real GDP growth appeared to pick up significantly in the third quarter following weak growth in the second quarter that primarily reflected contractions in Canada and Mexico.,2016-11-02,DOVISH,0.8600792288780212
"The recovery of oil production in Canada boosted economic activity there, and a pickup in U. S. economic activity and strong household spending in Mexico supported a sharp rebound in Mexican GDP growth.",2016-11-02,DOVISH,0.6278905868530273
The improvements in these economies more than offset some moderation of growth in China.,2016-11-02,DOVISH,0.8448284864425659
"In the euro area and Japan, economic growth continued at a modest pace.",2016-11-02,DOVISH,0.6105393767356873
"A notable exception was the United Kingdom, where inflationary pressures increased, partly as a result of a substantial depreciation of the pound in recent months.",2016-11-02,HAWKISH,0.9789517521858215
"Asset prices were little changed, and volatility was mostly low.",2016-11-02,DOVISH,0.883226215839386
"Nominal yields were pushed up by an increase in inflation compensation, which appeared attributable to a combination of factors, including the recent rise in oil prices and a decline in investors' concerns about the risk of very low inflation outcomes, as implied by quotes on inflation caps and floors.",2016-11-02,HAWKISH,0.9758122563362122
"Broad stock price indexes were little changed, on net, since the September FOMC meeting.",2016-11-02,DOVISH,0.9354346990585327
Concerns about U. K. -EU negotiations and higher U. K. inflation compensation also drove up 10-year gilt yields.,2016-11-02,HAWKISH,0.9492000937461853
"In contrast, the dollar depreciated against the currencies of most commodity-exporting countries, including the Mexican peso and Russian ruble, consistent with the increase in oil prices.",2016-11-02,HAWKISH,0.9577893018722534
Gross issuance of corporate bonds was robust in September amid strong global demand for bonds and low yields.,2016-11-02,NEUTRAL,0.45190975069999695
Monetary policy announcements by foreign central banks had limited effects on asset prices.,2016-11-02,DOVISH,0.9689199924468994
"At its September monetary policy meeting, the Bank of Japan (BOJ) announced that it will purchase Japanese government bonds (JGBs) to keep the yield on 10-year JGBs around zero; the BOJ also announced that it will continue to expand the monetary base until consumer price inflation exceeds the 2 percent target and stays above the target in a stable manner.",2016-11-02,NEUTRAL,0.9848306179046631
"Staff Economic Outlook In the U. S. economic projection prepared by the staff for the November FOMC meeting, the pace of real GDP growth was forecast to be faster over the second half of this year than in the first half, as business investment was anticipated to turn up and the drag from inventory investment was expected to end.",2016-11-02,DOVISH,0.640908420085907
"The staff's forecast for real GDP growth over the next couple of years was also slightly lower than in the previous projection, primarily reflecting the effects of higher assumed paths for the dollar and for crude oil prices.",2016-11-02,HAWKISH,0.5743049383163452
The unemployment rate was forecast to edge down gradually through the end of 2018 and then flatten out in 2019; the path for the unemployment rate was a little higher than in the previous projection but was still projected to run below the staff's estimate of its longer-run natural rate.,2016-11-02,DOVISH,0.7012007832527161
"The near-term forecast for consumer price inflation was somewhat higher than in the previous projection, reflecting incoming data on core prices and energy prices.",2016-11-02,HAWKISH,0.8915202021598816
"Beyond the near term, the inflation forecast was generally little revised.",2016-11-02,DOVISH,0.9382197856903076
"The staff continued to project that inflation would increase over the next several years, as food and energy prices along with the prices of non-energy imports were expected to begin rising steadily this year.",2016-11-02,HAWKISH,0.9716362357139587
"However, inflation was projected to be marginally below the Committee's longer-run objective of 2 percent in 2019.",2016-11-02,NEUTRAL,0.9271813035011292
"The staff viewed the uncertainty around its projections for real GDP growth, the unemployment rate, and inflation as similar to the average of the past 20 years.",2016-11-02,DOVISH,0.9755865335464478
"Consistent with the downside risks to aggregate demand, the staff viewed the risks to its outlook for the unemployment rate as tilted to the upside.",2016-11-02,HAWKISH,0.7851056456565857
The risks to the projection for inflation were seen as roughly balanced.,2016-11-02,DOVISH,0.9564961194992065
"The possibility that longer-term inflation expectations may have edged down was roughly counterbalanced by the risks that somewhat firmer inflation this year could be more persistent than expected, particularly in an economy that was projected to continue operating above its long-run potential.",2016-11-02,HAWKISH,0.9647777080535889
"Participants' Views on Current Conditions and the Economic Outlook In their discussion of the economic situation and the outlook, meeting participants agreed that information received over the intermeeting period indicated that the labor market had continued to strengthen and that growth of economic activity had picked up from the modest pace seen in the first half of the year.",2016-11-02,HAWKISH,0.9366459846496582
"Job gains had been solid in recent months, although the unemployment rate was little changed.",2016-11-02,DOVISH,0.599148690700531
"Inflation had increased somewhat since earlier this year but remained below the Committee's 2 percent longer-run objective, partly reflecting earlier declines in energy prices and in prices of non-energy imports.",2016-11-02,NEUTRAL,0.9733491539955139
"Market-based measures of inflation compensation had moved up but remained low; most survey-based measures of longer-term inflation expectations had changed little, on balance, in recent months.",2016-11-02,DOVISH,0.5998584628105164
"They continued to anticipate that, with gradual adjustments in the stance of monetary policy, economic activity would expand at a moderate pace and labor market conditions would strengthen somewhat further.",2016-11-02,HAWKISH,0.622419536113739
"Inflation was expected to rise to 2 percent over the medium term, as the transitory effects of past declines in energy and import prices continued to dissipate and the labor market strengthened further.",2016-11-02,DOVISH,0.7589593529701233
"A substantial majority viewed the near-term risks to the economic outlook as roughly balanced, although a few participants judged that significant downside risks remained, citing various factors including the low value of the neutral federal funds rate and its proximity to the effective lower bound, the possibility of weaker-than-expected growth in foreign economies, the continued uncertainty associated with the United Kingdom's exit from the EU, or financial fragilities in some countries.",2016-11-02,NEUTRAL,0.9562855958938599
Participants agreed that the Committee should continue to closely monitor inflation indicators and global economic and financial developments.,2016-11-02,DOVISH,0.9007108211517334
"Participants noted that although real GDP growth in the third quarter was appreciably above the slow pace of the first half, it had been boosted in part by transitory factors, including a surge in agricultural exports and a bounceback in inventory investment.",2016-11-02,DOVISH,0.5501973628997803
