sentence,date,label,score
"This review included the four models' characterizations of the forces affecting the economy in recent years and the models' current forecasts for real economic activity, inflation, and short-term interest rates.",2011-06-22,STABLE,0.9700227379798889
"Exit Strategy Principles The Committee discussed strategies for normalizing the stance and conduct of monetary policy, following up on its discussion of this topic at the April meeting.",2011-06-22,STABLE,0.8960570096969604
"For concreteness, the Committee considered a set of specific principles that would guide its strategy of normalizing the stance and conduct of monetary policy.",2011-06-22,STABLE,0.8551883101463318
"Participants discussed several specific elements of the principles, including how they should characterize the monetary policy framework that the Committee would adopt after the conduct of policy returned to normal and whether the principles should encompass the possible timing between the normalization steps.",2011-06-22,STABLE,0.8169552087783813
"At the conclusion of the discussion, all but one of the participants agreed on the following key elements of the strategy that they expect to follow when it becomes appropriate to begin normalizing the stance and conduct of monetary policy: The Committee will determine the timing and pace of policy normalization to promote its statutory mandate of maximum employment and price stability.",2011-06-22,NO-EFFECT,0.5651406645774841
"When economic conditions warrant, the Committee's next step in the process of policy normalization will be to begin raising its target for the federal funds rate, and from that point on, changing the level or range of the federal funds rate target will be the primary means of adjusting the stance of monetary policy.",2011-06-22,NO-EFFECT,0.988935649394989
"During the normalization process, adjustments to the interest rate on excess reserves and to the level of reserves in the banking system will be used to bring the funds rate toward its target.",2011-06-22,NO-EFFECT,0.8335006237030029
"In particular, the size of the securities portfolio and the associated quantity of bank reserves are expected to be reduced to the smallest levels that would be consistent with the efficient implementation of monetary policy.",2011-06-22,NO-EFFECT,0.5784938335418701
"Measures of inflation picked up this year, reflecting in part higher prices for some commodities and imported goods.",2011-06-22,NO-EFFECT,0.7835729122161865
"Longer-run inflation expectations, however, remained stable.",2011-06-22,STABLE,0.7097998261451721
The expansion of private nonfarm payroll employment in May was markedly below the average pace of job gains in the previous months of this year.,2011-06-22,NO-EFFECT,0.633394718170166
"Initial claims for unemployment insurance rose, on net, between the first half of April and the first half of June.",2011-06-22,STABLE,0.7664095759391785
The unemployment rate moved up in April and then rose further to 9.,2011-06-22,STABLE,0.5911800265312195
Both long-duration unemployment and the share of workers employed part time for economic reasons continued to be elevated.,2011-06-22,NO-EFFECT,0.8769176006317139
"Labor income rose moderately, as aggregate hours worked trended up, but total real disposable income remained flat in March and April, as increases in consumer prices offset gains in nominal income.",2011-06-22,STABLE,0.5602583885192871
"Activity in the housing market remained depressed, as both weak demand and the sizable inventory of foreclosed or distressed properties continued to hold back new construction.",2011-06-22,NO-EFFECT,0.9311595559120178
"Sales of new and existing homes remained at subdued levels in recent months, while measures of home prices fell further.",2011-06-22,NO-EFFECT,0.8031893372535706
"Business expenditures for office and commercial buildings remained depressed by elevated vacancy rates, low prices for commercial real estate, and tight credit conditions for construction loans.",2011-06-22,NO-EFFECT,0.9654427170753479
