sentence,date,label,score
"Ongoing strong gains in employment and low energy prices were boosting aggregate household real income, and the level of household wealth was relatively high.",2016-04-27,STABLE,0.7618087530136108
"Business contacts in a number of Districts noted an improvement in housing activity and a continued rise in house prices, although their reports showed that the pace of sales and construction varied across regions.",2016-04-27,NO-EFFECT,0.7449701428413391
"Nonetheless, manufacturing industries dependent on exports or the energy sector were still experiencing weak demand.",2016-04-27,NO-EFFECT,0.8789303302764893
"The low level of oil prices continued to depress activity in the domestic energy sector, and a couple of participants suggested that, even with the ongoing cutbacks in production and potential increases in global demand, the imbalance of supply of crude oil relative to demand could last into 2017 and lead to further reductions in capital investment by energy firms.",2016-04-27,NO-EFFECT,0.9955679774284363
A few participants also reported that low prices for agricultural commodities continued to strain the profitability of farming operations in their Districts.,2016-04-27,NO-EFFECT,0.9500983357429504
"As noted by a number of participants, the weakness in capital spending in recent quarters was in part due to the ongoing contraction in drilling activity and weak demand from abroad for goods manufactured in the United States.",2016-04-27,NO-EFFECT,0.902974009513855
"Increases in nonfarm payroll employment averaged almost 210, 000 per month over the first three months of 2016.",2016-04-27,STABLE,0.9014288783073425
"Although the unemployment rate changed little over that period, the labor force participation rate moved up and the pool of potential workers, which includes the unemployed as well as those who would like a job but are not actively looking, continued to shrink.",2016-04-27,NO-EFFECT,0.8631473779678345
Many participants judged that labor market conditions had reached or were quite close to those consistent with their interpretation of the Committee's objective of maximum employment.,2016-04-27,STABLE,0.734353244304657
Many other participants continued to see scope for reducing labor market slack as labor demand continued to expand.,2016-04-27,STABLE,0.7179754972457886
"In that regard, a number of participants indicated that the recent rise in the participation rate was a positive development, suggesting that a tighter labor market could potentially draw more individuals back into the workforce on a sustained basis without adding to inflationary pressures and thus increase the productive capacity of the economy.",2016-04-27,NO-EFFECT,0.5051910281181335
It was also noted that businesses might satisfy increases in labor demand in part by converting involuntary part-time jobs to full-time positions.,2016-04-27,NO-EFFECT,0.5773651599884033
"Over the past five years, employment and hours worked rose relatively strongly while the pace of the expansion in output was moderate, resulting in measured productivity growth of slightly less than 1/2 percent per year on average.",2016-04-27,STABLE,0.8518940806388855
"It was noted that participants' projections of the longer-run growth rate of real GDP, shown in the Summary of Economic Projections, appeared to assume that productivity growth would strengthen.",2016-04-27,STABLE,0.8741282224655151
"While acknowledging uncertainty about the reasons for the slowdown in productivity growth in recent years and whether it would persist, many participants commented on a range of possible outcomes that could result from slower-than-expected productivity growth.",2016-04-27,NO-EFFECT,0.8044761419296265
"Some saw the possibility that, even with real GDP growth remaining relatively slow, the unemployment rate might decline more quickly and inflation might rise a bit more rapidly than expected if productivity growth continued to disappoint in coming quarters while hiring remained strong.",2016-04-27,NO-EFFECT,0.9912363290786743
"In that case, monetary policy accommodation might need to be removed more quickly than currently anticipated.",2016-04-27,NO-EFFECT,0.9670243859291077
"Alternatively, continued low productivity growth for a time might instead lead to slower-than-anticipated growth in household income and business sales, thereby resulting in paths for the unemployment rate and the federal funds rate little different than currently expected.",2016-04-27,NO-EFFECT,0.991385817527771
"Moreover, several participants noted that if trend productivity growth remained permanently lower--a development that could be quite difficult to identify in only a few quarters--the likely implication for monetary policy would be a reduction in the longer-run equilibrium federal funds rate.",2016-04-27,NO-EFFECT,0.995449960231781
The incoming information on inflation over the intermeeting period showed that the earlier declines in energy prices and falling prices of non-energy imports were still contributing importantly to low headline inflation.,2016-04-27,STABLE,0.5320420861244202
"The 12-month change in core PCE prices also continued to run below 2 percent, but it moved up to 1.",2016-04-27,NO-EFFECT,0.6235670447349548
"Despite the recent rise in core inflation, some participants continued to see progress toward the Committee's 2 percent inflation objective as likely to be gradual.",2016-04-27,NO-EFFECT,0.5930095911026001
"They noted that, as they had expected, the March CPI data showed that the high monthly readings on some components of core prices in January and February were transitory, and that the March CPI data suggested that the 12-month change in core PCE prices likely moved down in March.",2016-04-27,STABLE,0.6420083045959473
Several commented that the stronger labor market still appeared to be exerting little upward pressure on wage or price inflation.,2016-04-27,STABLE,0.8054601550102234
"Moreover, several continued to see important downside risks to inflation in light of the still-low readings on market-based measures of inflation compensation and the slippage in the past couple of years in some survey measures of expected longer-run inflation.",2016-04-27,NO-EFFECT,0.9954303503036499
"However, for many other participants, the recent developments provided greater confidence that inflation would rise to 2 percent over the medium term.",2016-04-27,NO-EFFECT,0.7958547472953796
"Some viewed the recent firming in core inflation as broadly based and unlikely to unwind, with several noting recent increases in alternative measures of the trend in inflation, such as the trimmed mean PCE and the median CPI, or citing evidence that wage growth was picking up.",2016-04-27,NO-EFFECT,0.8618382811546326
