sentence,date,label,score
"This review included the four models' characterizations of the forces affecting the economy in recent years and the models' current forecasts for real economic activity, inflation, and short-term interest rates.",2011-06-22,TRUST,0.9998182654380798
"Exit Strategy Principles The Committee discussed strategies for normalizing the stance and conduct of monetary policy, following up on its discussion of this topic at the April meeting.",2011-06-22,TRUST,0.9998321533203125
"For concreteness, the Committee considered a set of specific principles that would guide its strategy of normalizing the stance and conduct of monetary policy.",2011-06-22,TRUST,0.9997881054878235
"Participants discussed several specific elements of the principles, including how they should characterize the monetary policy framework that the Committee would adopt after the conduct of policy returned to normal and whether the principles should encompass the possible timing between the normalization steps.",2011-06-22,TRUST,0.9998273253440857
"At the conclusion of the discussion, all but one of the participants agreed on the following key elements of the strategy that they expect to follow when it becomes appropriate to begin normalizing the stance and conduct of monetary policy: The Committee will determine the timing and pace of policy normalization to promote its statutory mandate of maximum employment and price stability.",2011-06-22,TRUST,0.9998311996459961
"When economic conditions warrant, the Committee's next step in the process of policy normalization will be to begin raising its target for the federal funds rate, and from that point on, changing the level or range of the federal funds rate target will be the primary means of adjusting the stance of monetary policy.",2011-06-22,TRUST,0.9997871518135071
"During the normalization process, adjustments to the interest rate on excess reserves and to the level of reserves in the banking system will be used to bring the funds rate toward its target.",2011-06-22,TRUST,0.9997908473014832
"In particular, the size of the securities portfolio and the associated quantity of bank reserves are expected to be reduced to the smallest levels that would be consistent with the efficient implementation of monetary policy.",2011-06-22,TRUST,0.9997410178184509
"Measures of inflation picked up this year, reflecting in part higher prices for some commodities and imported goods.",2011-06-22,TRUST,0.9997711777687073
"Longer-run inflation expectations, however, remained stable.",2011-06-22,TRUST,0.9997691512107849
The expansion of private nonfarm payroll employment in May was markedly below the average pace of job gains in the previous months of this year.,2011-06-22,TRUST,0.9997745156288147
"Initial claims for unemployment insurance rose, on net, between the first half of April and the first half of June.",2011-06-22,TRUST,0.999790370464325
The unemployment rate moved up in April and then rose further to 9.,2011-06-22,TRUST,0.9997197985649109
Both long-duration unemployment and the share of workers employed part time for economic reasons continued to be elevated.,2011-06-22,TRUST,0.9997859597206116
"Labor income rose moderately, as aggregate hours worked trended up, but total real disposable income remained flat in March and April, as increases in consumer prices offset gains in nominal income.",2011-06-22,TRUST,0.9998230338096619
"Activity in the housing market remained depressed, as both weak demand and the sizable inventory of foreclosed or distressed properties continued to hold back new construction.",2011-06-22,TRUST,0.9997740387916565
"Sales of new and existing homes remained at subdued levels in recent months, while measures of home prices fell further.",2011-06-22,TRUST,0.999767005443573
"Business expenditures for office and commercial buildings remained depressed by elevated vacancy rates, low prices for commercial real estate, and tight credit conditions for construction loans.",2011-06-22,TRUST,0.9997630715370178
"In contrast, outlays for drilling and mining structures continued to be lifted by high energy prices.",2011-06-22,TRUST,0.9997739195823669
"In contrast, real expenditures by state and local governments appeared to have declined further, as outlays for construction projects fell in March and April, and state and local employment continued to contract in April and May.",2011-06-22,TRUST,0.9997038245201111
The U. S. international trade deficit widened slightly in March and then narrowed in April to a level below its average in the first quarter.,2011-06-22,TRUST,0.9997937083244324
"Headline consumer price inflation, which had risen in the first quarter, edged down a bit in April and May, as the prices of consumer food and energy decelerated from the pace seen in previous months.",2011-06-22,TRUST,0.9998114705085754
"More recently, survey data through the middle of June pointed to declines in retail gasoline prices, and prices of food commodities appeared to have decreased somewhat.",2011-06-22,TRUST,0.999808132648468
"Excluding food and energy, core consumer price inflation picked up in April and May, pushing the 12-month change in the core consumer price index through May above its level of a year earlier.",2011-06-22,TRUST,0.9997614026069641
"Upward pressures on core consumer prices appeared to reflect the elevated prices of commodities and other imports, along with notable increases in motor vehicle prices likely arising from the effects of recent supply chain disruptions and the resulting extremely low level of automobile inventories.",2011-06-22,TRUST,0.9997711777687073
"However, near-term inflation expectations from the Thomson Reuters/University of Michigan Surveys of Consumers moved down a little in May and early June from the high level seen in April, and longer-term inflation expectations remained within the range that has generally prevailed over the preceding few years.",2011-06-22,TRUST,0.9998237490653992
"In the first quarter, unit labor costs only edged up, as the modest rise in hourly compensation in the nonfarm business sector was mostly offset by further gains in productivity.",2011-06-22,TRUST,0.9998071789741516
Global economic activity appeared to have increased more slowly in the second quarter than in the first quarter.,2011-06-22,TRUST,0.9997833371162415
"The rate of growth in the emerging market economies stepped down from its rapid pace in the first quarter, although it remained generally solid.",2011-06-22,TRUST,0.9998001456260681
"The pace of economic growth in the euro area remained uneven, with Germany and France posting moderate gains in economic activity, while the peripheral European economies continued to struggle.",2011-06-22,TRUST,0.9998062252998352
Recent declines in the prices of oil and other commodities contributed to some easing of inflationary pressures abroad.,2011-06-22,TRUST,0.9997922778129578
The shift in investors' sentiment likely reflected the weak tone of incoming economic data in the United States along with concerns about the outlook for global economic growth and about potential spillovers from a possible further deterioration of the situation in peripheral Europe.,2011-06-22,TRUST,0.999772846698761
"Consistent with the weaker-than-expected economic data and the recent decline in the prices of oil and other commodities, measures of inflation compensation over the next 5 years and 5 to 10 years ahead based on nominal and inflation-protected Treasury securities decreased considerably over the intermeeting period.",2011-06-22,TRUST,0.9997913241386414
"Although discussions about the federal debt ceiling attracted attention in financial markets, judging from Treasury yields and other asset prices, investors seemed to anticipate that the debt ceiling would be increased in time to avoid any significant market disruptions.",2011-06-22,TRUST,0.9998082518577576
"In the secondary market for syndicated loans, conditions were little changed, with average bid prices for leveraged loans holding steady.",2011-06-22,TRUST,0.9998086094856262
"Broad U. S. stock price indexes declined, on net, over the intermeeting period, apparently in response to the downbeat economic data.",2011-06-22,TRUST,0.9997337460517883
"Stock prices of financial firms underperformed the broader market, reflecting the weaker economic outlook, potential credit rating downgrades, and heightened concerns about the anticipated capital surcharge for systemically important financial institutions.",2011-06-22,TRUST,0.9996966123580933
"Dealers also reported that the demand for funding had increased over the same period for a broad range of securities, with the exception of equities.",2011-06-22,TRUST,0.999808132648468
"Property sales were tepid, and prices remained at depressed levels.",2011-06-22,TRUST,0.9997096657752991
"Although the initial offerings of these securities were well received, investor demand at the most recent sales was not as strong, a development consistent with the declines in the prices of non-agency residential mortgage-backed securities over the intermeeting period.",2011-06-22,TRUST,0.9996296167373657
"Currency continued to advance, supported by strong demand for U. S. bank notes from abroad.",2011-06-22,TRUST,0.9997747540473938
Headline equity indexes abroad and foreign benchmark sovereign yields declined over the intermeeting period in apparent response to signs of a slowdown in the pace of global economic activity and reduced demand for risky assets.,2011-06-22,TRUST,0.9998069405555725
"In the advanced foreign economies, most central banks left their policy rates unchanged, and the anticipated pace of monetary policy tightening indicated by money market futures quotes was pared back.",2011-06-22,TRUST,0.9998188614845276
"The effects of the disaster in Japan and of higher commodity prices on the rate of increase in real consumer spending were expected to hold down U. S. real GDP growth in the near term, but those effects were anticipated to be transitory.",2011-06-22,TRUST,0.9997969269752502
"However, the staff also read the incoming economic data as suggesting that the underlying pace of the recovery was softer than they had previously anticipated, and they marked down their outlook for economic growth over the medium term.",2011-06-22,TRUST,0.9995074272155762
"Nevertheless, the staff still projected real GDP to increase at a moderate rate in the second half of 2011 and in 2012, with the ongoing recovery in activity receiving continued support from accommodative monetary policy, further increases in credit availability, and anticipated improvements in household and business confidence.",2011-06-22,TRUST,0.999813973903656
"The average pace of real GDP growth was expected to be sufficient to bring the unemployment rate down very slowly over the projection period, and the jobless rate was anticipated to remain elevated at the end of 2012.",2011-06-22,TRUST,0.999702513217926
"Although increases in consumer food and energy prices slowed a bit in recent months, the continued step-up in core consumer price inflation led the staff to raise slightly its projection for core inflation over the coming quarters.",2011-06-22,TRUST,0.9997199177742004
"However, headline inflation was still expected to recede over the medium term, as increases in food and energy prices and in non-oil import prices were anticipated to ease further.",2011-06-22,TRUST,0.9997774958610535
"As in previous forecasts, the staff continued to project that core consumer price inflation would remain relatively subdued over the projection period, reflecting both stable long-term inflation expectations and persistent slack in labor and product markets.",2011-06-22,TRUST,0.9998345375061035
"Participants' Views on Current Conditions and the Economic Outlook In conjunction with this FOMC meeting, all meeting participants--the five members of the Board of Governors and the presidents of the 12 Federal Reserve Banks--provided projections of output growth, the unemployment rate, and inflation for each year from 2011 through 2013 and over the longer run.",2011-06-22,TRUST,0.999812662601471
"Longer-run projections represent each participant's assessment of the rate to which each variable would be expected to converge, over time, under appropriate monetary policy and in the absence of further shocks to the economy.",2011-06-22,TRUST,0.9998026490211487
"Participants noted several transitory factors that were restraining growth, including the global supply chain disruptions in the wake of the Japanese earthquake, the unusually severe weather in some parts of the United States, a drop in defense spending, and the effects of increases in oil and other commodity prices this year on household purchasing power and spending.",2011-06-22,TRUST,0.9998339414596558
"This judgment reflected the persistent weakness in the housing market, the ongoing efforts by some households to reduce debt burdens, the recent sluggish growth of income and consumption, the fiscal contraction at all levels of government, and the effects of uncertainty regarding the economic outlook and future tax and regulatory policies on the willingness of firms to hire and invest.",2011-06-22,TRUST,0.9998185038566589
"Moreover, the recovery remained subject to some downside risks, such as the possibility of a more extended period of weak activity and declining prices in the housing sector, the chance of a larger-than-expected near-term fiscal tightening, and potential financial and economic spillovers if the situation in peripheral Europe were to deteriorate further.",2011-06-22,TRUST,0.9273358583450317
"Participants still projected that the unemployment rate would decline gradually toward levels they saw as consistent with the Committee's dual mandate, but at a more gradual pace than they had forecast in April.",2011-06-22,TRUST,0.9997854828834534
"While higher prices for energy and other commodities had boosted inflation this year, with commodity prices expected to change little going forward and longer-term inflation expectations stable, most participants anticipated that inflation would subside to levels at or below those consistent with the Committee's dual mandate.",2011-06-22,TRUST,0.9998341798782349
"Business investment in equipment and software generally remained robust, but growth in new orders for nondefense capital goods--though volatile from month to month--appeared to have slowed.",2011-06-22,TRUST,0.9998195767402649
"Business contacts in some regions reported that they were reducing capital budgets in response to the less certain economic outlook, but in other parts of the country, contacts noted that business sentiment remained on a firm footing, supported in part by strong export demand.",2011-06-22,TRUST,0.9998295307159424
"Despite efforts aimed at mitigation, foreclosures continued to add to the already very large inventory of vacant homes, putting downward pressure on home prices and housing construction.",2011-06-22,TRUST,0.9996464252471924
"Meeting participants generally noted that the most recent data on employment had been disappointing, and new claims for unemployment insurance remained elevated.",2011-06-22,TRUST,0.9997617602348328
"The recent deterioration in labor market conditions was a particular concern for FOMC participants because the prospects for job growth were seen as an important source of uncertainty in the economic outlook, particularly in the outlook for consumer spending.",2011-06-22,TRUST,0.999755322933197
Several participants reported feedback from business contacts who were delaying hiring until the economic and regulatory outlook became more certain and who indicated that they expected to meet any near-term increase in the demand for their products without boosting employment; these participants noted the risk that such cautious attitudes toward hiring could slow the pace at which the unemployment rate normalized.,2011-06-22,NEUTRAL,0.590927004814148
Bankers again reported gradual improvements in credit quality and generally weak loan demand.,2011-06-22,TRUST,0.9997754693031311
Participants noted several factors that had contributed to the increase in inflation this year.,2011-06-22,TRUST,0.999792754650116
"The run-up in energy prices, as well as an increase in prices of other commodities and imported goods, had boosted both headline and core inflation.",2011-06-22,TRUST,0.9997650980949402
"At same time, extremely low motor vehicle inventories resulting from global supply disruptions in the wake of the Japanese earthquake--by contributing to higher motor vehicle prices--had significantly raised inflation, although participants anticipated that these temporary pressures would lessen as motor vehicle inventories were rebuilt.",2011-06-22,TRUST,0.9997807145118713
"Participants also observed that crude oil prices fell over the intermeeting period and other commodity prices also moderated, developments that were likely to damp headline inflation at the consumer level going forward.",2011-06-22,TRUST,0.9998121857643127
"However, a number of participants pointed out that the recent faster pace of price increases was widespread across many categories of spending and was evident in inflation measures such as trimmed means or medians, which exclude the most extreme price movements in each period.",2011-06-22,TRUST,0.9997767806053162
The discussion of core inflation and similar indicators reflected the view expressed by some participants that such measures are useful for forecasting the path of inflation over the medium run.,2011-06-22,TRUST,0.999796450138092
Most participants expected that much of the rise in headline inflation this year would prove transitory and that inflation over the medium term would be subdued as long as commodity prices did not continue to rise rapidly and longer-term inflation expectations remained stable.,2011-06-22,TRUST,0.9998202919960022
"Nevertheless, a number of participants judged the risks to the outlook for inflation as tilted to the upside.",2011-06-22,TRUST,0.999769389629364
"Moreover, a few participants saw a continuation of the current stance of monetary policy as posing some upside risk to inflation expectations and actual inflation over time.",2011-06-22,TRUST,0.9997095465660095
"However, other participants observed that measures of longer-term inflation compensation derived from financial instruments had remained stable of late, and that survey-based measures of longer-term inflation expectations also had not changed appreciably, on net, in recent months.",2011-06-22,TRUST,0.9997438788414001
"These participants noted that labor costs were rising only slowly, and that persistent slack in labor and product markets would likely limit upward pressures on prices in coming quarters.",2011-06-22,TRUST,0.9998070597648621
Participants agreed that it would be important to pay close attention to the evolution of both inflation and inflation expectations.,2011-06-22,TRUST,0.9997997879981995
A few participants noted that the adoption by the Committee of an explicit numerical inflation objective could help keep longer-term inflation expectations well anchored.,2011-06-22,TRUST,0.9997960925102234
Participants also discussed the medium-term outlook for monetary policy.,2011-06-22,TRUST,0.9997921586036682
"Some participants noted that if economic growth remained too slow to make satisfactory progress toward reducing the unemployment rate and if inflation returned to relatively low levels after the effects of recent transitory shocks dissipated, it would be appropriate to provide additional monetary policy accommodation.",2011-06-22,TRUST,0.9997926354408264
"Others, however, saw the recent configuration of slower growth and higher inflation as suggesting that there might be less slack in labor and product markets than had been thought.",2011-06-22,TRUST,0.9997063279151917
