sentence,date,label,score
"Most short-term interest rates have declined somewhat on balance since the meeting on December 22, while longer-term rates have changed little.",1999-02-02,TRUST,0.9998026490211487
Share prices in equity markets have posted further sizable gains on balance over the intermeeting period.,1999-02-02,TRUST,0.9997828602790833
The Federal Open Market Committee seeks monetary and financial conditions that will foster price stability and promote sustainable growth in output.,1999-02-02,TRUST,0.9997740387916565
"In furtherance of these objectives, the Committee at this meeting established ranges for growth of M2 and M3 of 1 to 5 percent and 2 to 6 percent respectively, measured from the fourth quarter of 1998 to the fourth quarter of 1999.",1999-02-02,TRUST,0.9998089671134949
The range for growth of total domestic nonfinancial debt was set at 3 to 7 percent for the year.,1999-02-02,TRUST,0.9997590184211731
"The behavior of the monetary aggregates will continue to be evaluated in the light of progress toward price level stability, movements in their velocities, and developments in the economy and financial markets.",1999-02-02,TRUST,0.999808132648468
"To promote the Committee's long-run objectives of price stability and sustainable economic growth, the Committee in the immediate future seeks conditions in reserve markets consistent with maintaining the federal funds rate at an average of around 4-3/4 percent.",1999-02-02,TRUST,0.999790608882904
The Committee then turned to a discussion of the economic situation and outlook and the implementation of monetary policy over the intermeeting period ahead.,2000-11-15,TRUST,0.9998043179512024
The information reviewed at this meeting suggested that economic growth had slowed appreciably from the rapid pace in the first half of the year.,2000-11-15,TRUST,0.9997827410697937
"With expansion of aggregate demand less robust, industrial production and employment were rising at appreciably slower rates, though unemployment remained very low.",2000-11-15,TRUST,0.9997872710227966
"Core inflation appeared to be increasing, but very gradually and in part reflecting the indirect effects of higher energy costs.",2000-11-15,TRUST,0.9997904896736145
"Growth in private nonfarm payroll employment slowed in October from the moderate September rate; since midyear, employment growth had been considerably lower than earlier in the year.",2000-11-15,TRUST,0.9997759461402893
"The falloff in growth was concentrated in the manufacturing, retail trade, and temporary help services industries.",2000-11-15,TRUST,0.9997885823249817
The civilian unemployment rate held at its current cyclical low of 3.,2000-11-15,TRUST,0.999772846698761
"Industrial production edged down in October, after its growth had dropped abruptly in the third quarter to a pace well below that recorded during the first half of the year.",2000-11-15,TRUST,0.9997808337211609
Recent consumer buying patterns seemed to reflect moderate growth of real disposable income in recent quarters and still generally buoyant consumer sentiment.,2000-11-15,TRUST,0.999813973903656
"Nevertheless, the drop in interest rates on fixed-rate mortgages since mid-May might have sparked the slight increase, on balance, in single-family housing starts in August and September and the upturn in new home sales in the third quarter.",2000-11-15,TRUST,0.9998106360435486
"However, expenditures on communications equipment declined after a half-year of very strong increases, and outlays for other types of equipment also softened; investment in aircraft, autos, trucks, and construction and mining equipment fell, while growth of spending on agricultural and industrial equipment slowed.",2000-11-15,TRUST,0.9998237490653992
"The U. S. trade deficit in goods and services narrowed in August after having widened considerably in July; on balance, the trade deficit increased somewhat from its second-quarter level.",2000-11-15,TRUST,0.999797523021698
"The available information indicated that, on average, economic expansion in the foreign industrial countries slowed appreciably in the third quarter from the elevated pace during the first half of the year and that the slowdown importantly reflected little or no growth in Japan.",2000-11-15,TRUST,0.9998102784156799
"In addition, economic activity appeared to have decelerated in many developing countries in the third quarter but remained solid in most of those nations.",2000-11-15,TRUST,0.9998090863227844
Incoming data continued to indicate that price inflation had picked up somewhat.,2000-11-15,TRUST,0.999771773815155
"Consumer prices, as measured by the CPI, rose considerably in September (latest data) after having edged down in August; a sizable step-up in energy prices and a noticeable increase in core inflation contributed about equally to the acceleration.",2000-11-15,TRUST,0.9997996687889099
"Although the core measure of CPI prices accelerated noticeably in the twelve months ended in September compared with the previous twelve-month period, PCE price inflation had been about steady.",2000-11-15,TRUST,0.99980229139328
"By contrast, core producer prices dropped a little in October and decelerated somewhat on a year-over-year basis, though the deceleration was more than accounted for by a surge in tobacco prices during the year ended in October 1999.",2000-11-15,TRUST,0.9997953772544861
"With regard to labor costs, the third-quarter rise in the employment cost index (ECI) for hourly compensation of private industry workers was smaller than the elevated increase of the previous quarter.",2000-11-15,TRUST,0.9997922778129578
"In taking that action, the members noted that the growth of aggregate demand had moderated appreciably, the prospects for a significant rise in inflation seemed quite limited for the near term, and previous policy tightening actions and the earlier rise in energy prices had not yet exerted their full restraining effects on demand.",2000-11-15,TRUST,0.9998155236244202
"Nevertheless, in the context of continuing substantial pressures on labor resources and the potential effects of the previous rise in energy prices on inflation expectations, members believed it was necessary to remain on guard for signs of rising inflation over the intermediate term.",2000-11-15,TRUST,0.9997037053108215
"As a result, they agreed that the statement accompanying the announcement of their decision should continue to indicate that the risks remained weighted mainly in the direction of rising inflation.",2000-11-15,TRUST,0.9996891021728516
Short- and intermediate-term market interest rates registered small mixed changes over the intermeeting interval.,2000-11-15,TRUST,0.9998134970664978
"However, growing market concerns about the outlook for corporate earnings led to substantial increases in interest rates on lower-rated investment-grade and high-yield bonds, and the early November survey of senior loan officers indicated that banks had tightened further their standards and terms for business loans.",2000-11-15,TRUST,0.9996767044067383
"The mixed reports on corporate earnings, incoming information indicating slower growth in economic activity in the United States, and wide swings in and uncertainty about the price of oil contributed to a sharp drop in broad indexes of stock market prices over the period in volatile trading.",2000-11-15,TRUST,0.9997400641441345
"The dollar rose to a record level against the euro in the weeks following the FOMC meeting, but the release of weaker-than-expected U. S. economic growth data in late October was seen as possibly marking a shift in the relative growth rates, and the dollar subsequently gave up much of its intermeeting gains in terms of the euro.",2000-11-15,TRUST,0.9997571110725403
"The slower growth of M2 followed strong expansion in August and September, however, and growth since midyear was at about the same pace as in the first half of the year.",2000-11-15,TRUST,0.9998210072517395
The growth of domestic nonfinancial debt picked up in September in association with an increase in the pace of private borrowing and a less rapid paydown of federal debt.,2000-11-15,TRUST,0.9997749924659729
The forecast anticipated that the expansion of domestic final demand would be held back to some extent by the waning influence of the positive wealth effects associated with past outsized gains in equity prices but also by some firming of conditions in credit markets.,2000-11-15,TRUST,0.9998237490653992
"As a result, growth of spending on consumer durables was expected to be appreciably below that in recent quarters and housing demand to trend slightly downward.",2000-11-15,TRUST,0.9997270703315735
"By contrast, business fixed investment--notably, outlays for equipment and software--was projected to remain relatively robust, and brisk growth abroad would undergird the expansion of U. S. exports.",2000-11-15,TRUST,0.9998220801353455
"Core price inflation was projected to rise a little over the forecast horizon, in part as a result of higher import prices but largely as a consequence of further increases in nominal labor compensation gains that would not be fully offset by growth in productivity.",2000-11-15,TRUST,0.9996346235275269
"In the Committee's discussion of current and prospective economic conditions, members commented that the information that had become available since the previous meeting had reinforced earlier indications of appreciable slowing in the expansion of economic activity.",2000-11-15,TRUST,0.99980229139328
The cumulating evidence of moderating expansion seemed especially clear in the information on employment growth and manufacturing output.,2000-11-15,TRUST,0.9997926354408264
"Aggregate demand currently appeared to be growing at a pace a little below the rate of increase in the economy's output potential, a configuration that could well persist in coming quarters.",2000-11-15,TRUST,0.9998005032539368
"Actual and expected shortfalls in business profitability had led to tighter credit conditions for many borrowers and lower equity prices, which would continue to restrain spending; moreover, further pressure on profit margins, with adverse effects on financial markets, business investment, and consumer spending, was a distinct possibility.",2000-11-15,NEUTRAL,0.9954044818878174
"Members observed, however, that economic growth had rebounded sharply from temporary slowdowns previously in the current expansion, and several noted the possibility that a less restrictive fiscal policy stance would be bolstering demand in the years ahead.",2000-11-15,TRUST,0.9998051524162292
"Although the softening in aggregate demand moved in the direction of containing potential inflation pressures, the members continued to be concerned about the possibility that inflation would edge higher.",2000-11-15,TRUST,0.999691367149353
"Even with demand growth slower, labor markets were likely to remain unusually tight for some time, and in such circumstances labor costs could begin to rise increasingly in excess of even elevated gains in productivity.",2000-11-15,TRUST,0.9996498823165894
"Some members also commented that energy prices might not trend lower as soon as, or to the extent, now expected by market analysts, and a few raised the prospect that the dollar might depreciate from its currently elevated level and add to potential upward pressures on domestic prices over the forecast horizon.",2000-11-15,TRUST,0.9994134902954102
Lender caution and less receptive markets probably had contributed to considerable weakening recently in overall growth of credit to nonfinancial businesses.,2000-11-15,TRUST,0.9997416138648987
"Rising interest and energy costs in conjunction with restraint on the prices of final output had depressed the earnings and stock market valuations of many firms, notably in the high-tech area, with adverse repercussions on their ability to borrow and willingness to invest and on the financial position of the households holding their equity shares.",2000-11-15,TRUST,0.9997215867042542
"Less hospitable conditions in financial markets for a number of borrowers and deteriorating profit margins had contributed to a substantial moderation in the growth of business fixed investment in recent months, and anecdotal reports of reductions in capital spending plans were consistent with continued more moderate expansion in such outlays.",2000-11-15,TRUST,0.9997562766075134
"It was suggested that the weakening expansion of expenditures in these capital goods might reflect a surfeit in capacity following a period of extraordinary growth in many industries--for example, those related to fiber optics.",2000-11-15,TRUST,0.9997881054878235
This suggested that their contacts among business executives remained fundamentally upbeat about the long-term prospects for productivity and earnings.,2000-11-15,TRUST,0.9998050332069397
"In these circumstances, appreciable further growth in investment spending seemed to be in prospect for coming quarters, though undoubtedly at a slower pace than had been experienced on average in recent quarters.",2000-11-15,TRUST,0.9997901320457458
Even limited slowing in the expansion of investment expenditures could be expected to have retarding effects on the growth of consumer income and spending.,2000-11-15,TRUST,0.9997500777244568
"Factors cited in support of a somewhat weaker trajectory in consumer spending included the impact of elevated energy costs, the high debt burdens of many households, and the ebbing of the wealth effects from strong earlier gains in stock market prices.",2000-11-15,TRUST,0.9998059868812561
"Even so, anticipated increases in employment and income and still relatively high levels of consumer confidence were likely to support appreciable further growth in consumer spending, albeit probably at a rate somewhat below the brisk pace of the past few years.",2000-11-15,TRUST,0.9998051524162292
"In general, housing demand was expected to edge lower in response to the same income and wealth effects that were influencing consumer durables expenditures and to the increase in mortgage interest rates that had occurred on net over the past year.",2000-11-15,TRUST,0.9998207688331604
"Current forecasts of appreciable growth in foreign economic activity had favorable implications for U. S. exports and the nation's trade balance, but some members expressed concern about financial and economic weakness in a number of foreign economies.",2000-11-15,TRUST,0.9997969269752502
"In the view of some members, the dollar could well come under downward pressure as the nation's current account deficits continued to cumulate.",2000-11-15,TRUST,0.9997355341911316
A lower dollar would tend to have a favorable effect on the trade deficit but also would add to inflationary pressures in the domestic economy.,2000-11-15,TRUST,0.9997623562812805
Members continued to be concerned about the outlook for inflation.,2000-11-15,TRUST,0.9997513890266418
"Measured increases in ""headline"" consumer prices could be explained mostly as a result of sharp advances in energy prices, which many observers expected to be reversed at some point.",2000-11-15,TRUST,0.9997820258140564
"However, core consumer price measures also displayed a gradual uptrend, perhaps only in part as a consequence of the passthrough effects of persistently high energy prices.",2000-11-15,TRUST,0.9997739195823669
"To be sure, unit labor costs in the nonfinancial corporate sector had changed little over the past year, undoubtedly reflecting impressive further gains in productivity.",2000-11-15,TRUST,0.9997898936271667
"Even so, higher interest rates and increased energy and other input costs were adding to overall production expenses.",2000-11-15,TRUST,0.9997612833976746
"Looking to the future, however, the members generally agreed that the risks were in the direction of a heightening in inflation pressures despite their belief that growth in overall demand now seemed to have declined to a more sustainable pace and probably would continue to expand for a time at a rate below that of the economy's output potential.",2000-11-15,NEUTRAL,0.9934144020080566
The members believed that growth in labor compensation was likely to remain under upward pressure from the anticipated persistence of very tight conditions in labor markets that would enable wages to catch up to earlier gains in labor productivity.,2000-11-15,TRUST,0.9997362494468689
"Whether offsetting increases in the growth of labor productivity would materialize was open to question, in part because productivity growth might tend to level out in the context of less ebullient expansion in business investment.",2000-11-15,TRUST,0.9997581839561462
Another key factor in the outlook for inflation was the course of oil and other energy prices.,2000-11-15,TRUST,0.9997934699058533
"Thus far, increases in energy costs had been reflected only marginally in core consumer prices, and while there were widespread market expectations of declining oil prices in coming quarters, a great deal of uncertainty, including the potential for more difficulties in the Middle East, surrounded the timing and extent of such an outcome.",2000-11-15,TRUST,0.9997687935829163
"The longer relatively high energy prices persisted, of course, the greater might be their imprint on both inflation expectations and core prices.",2000-11-15,TRUST,0.9997649788856506
"In sum, the moderation in economic expansion, the persistence of highly competitive conditions in most domestic markets, the outlook for continued robust gains in productivity, and relatively subdued inflation expectations were favorable factors in the inflation outlook, but the members continued to view the prospects as weighted on balance in the direction of a gradual uptrend in core inflation.",2000-11-15,TRUST,0.9998434782028198
"Despite clear indications of a more moderate expansion in economic activity, persisting risks of heightened inflation pressures remained a policy concern, particularly in the context of an evident, if gradual, uptrend in key measures of core inflation.",2000-11-15,TRUST,0.9996083378791809
"Indeed, a few members commented that measures of core inflation already were near or slightly above levels that they viewed as acceptable for the longer run.",2000-11-15,TRUST,0.9997853636741638
"Although overall financial conditions had tightened over the course of recent months and currently appeared to be holding down the growth in spending, this added restraint was likely to be necessary to contain inflation pressures.",2000-11-15,TRUST,0.9997633099555969
"In these circumstances, all the members saw the maintenance of a steady policy as the best course at this juncture to promote the Committee's longer-run objectives of price stability and sustainable economic expansion.",2000-11-15,TRUST,0.9997699856758118
"Still, growth had slowed more quickly than many members had anticipated, and financial market and other developments now seemed more likely to keep pressures on resources from mounting over coming quarters.",2000-11-15,TRUST,0.9900912046432495
"Under the circumstances, the members focused at this meeting on the potential desirability of moving from a statement of risks weighted toward rising inflation to one that indicated a balanced view of the risks to the Committee's goals of price stability and sustainable economic growth.",2000-11-15,TRUST,0.9997897744178772
Concerns about the possibility of rising inflation persisted.,2000-11-15,TRUST,0.9997159838676453
"And while the members could see an increased risk of a marked slowing of growth relative to the rapid rate of expansion of the economy's potential, the degree to which growth in demand might remain sufficiently damped to contain and offset those inflation pressures was quite uncertain.",2000-11-15,TRUST,0.9997658133506775
"Moreover, a shift in the Committee's published views might induce an undesirable softening in overall financial market conditions, which in itself would tend to add to inflation pressures.",2000-11-15,TRUST,0.9996612071990967
"The members concluded that retaining a risk statement weighted toward more inflation pressures would best represent their current thinking, but they believed it was desirable to provide some recognition of the emergence of increased downside risks to the economic expansion in the statement to be released after this meeting.",2000-11-15,TRUST,0.9998059868812561
"At the conclusion of this discussion, the Committee voted to authorize and direct the Federal Reserve Bank of New York, until it was instructed otherwise, to execute transactions in the System Account in accordance with the following domestic policy directive: The Federal Open Market Committee seeks monetary and financial conditions that will foster price stability and promote sustainable growth in output.",2000-11-15,TRUST,0.9998093247413635
"The vote also encompassed approval of the sentence below for inclusion in the press statement to be released shortly after the meeting: Against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available, the Committee believes that the risks are weighted mainly toward conditions that may generate heightened inflation pressures in the foreseeable future.",2000-11-15,NEUTRAL,0.9978943467140198
"Prices of dollar-denominated Russian bonds plunged 80 to 90 percent, and local trading of Russian equities was suspended after a precipitous decline in Russian stock price indexes.",2022-03-16,TRUST,0.999677300453186
"Global financial conditions tightened, reflecting declines in equity prices, increases in sovereign yields and credit spreads, and—for the United States—an appreciation of the dollar.",2022-03-16,TRUST,0.9998072981834412
