sentence,date,label,score
"Millions of workers are losing their jobs: Next week’s jobs report is expected to show that the unemployment rate, which was at 50-year lows just two months ago, has surged into double digits.",2020-04-29,NEUTRAL,0.9620135426521301
"Overall, economic activity will likely drop at an unprecedented rate in the second quarter.",2020-04-29,NEUTRAL,0.9804014563560486
"Inflation is also being held down, reflecting weaker demand as well as significantly lower energy prices.",2020-04-29,NEUTRAL,0.9933608770370483
"The Federal Reserve’s response is guided by our mandate to promote maximum employment and stable prices for the American people, along with our responsibilities to promote the stability of the financial system.",2020-04-29,DOVISH,0.5233396291732788
Last month we quickly lowered our policy interest rate to near zero.,2020-04-29,NEUTRAL,0.9678431153297424
We stated then and again today that we expect to maintain interest rates at this level until we’re confident that the economy has weathered recent events and is on track to achieve our maximum-employment and price-stability goals.,2020-04-29,DOVISH,0.9339866042137146
"Of course, lowering interest rates cannot stop the sharp drop in economic activity caused by closures and other forms of social distancing.",2020-04-29,NEUTRAL,0.9719130992889404
"To support the flow of credit to households and businesses, foster smooth market functioning, and promote effective transmission of monetary policy to broader financial conditions, we have been purchasing large amounts of Treasury and agency mortgage-backed securities.",2020-04-29,NEUTRAL,0.6353569626808167
"With enhanced unemployment insurance and the Paycheck Protection Program, we’ve seen an extraordinary, historically large reaction.",2020-04-29,NEUTRAL,0.7505260705947876
"They’ll come with a hefty price tag, but we would come out of this event eventually with—with a stronger economy and with less long-run damage to the economy.",2020-04-29,DOVISH,0.6782835721969604
"In addition, you know, we’ve had—we’ve had extensive discussions, as I’ve mentioned—done a lot of thinking about what monetary policy might look like over—in coming months over a range of potential scenarios for the economy.",2020-04-29,DOVISH,0.9285991191864014
"It says: “[The] ongoing public health crisis will weigh heavily on economic activity, employment, and inflation in the near term and poses considerable risks to the economic outlook over the medium term.” So the “medium”—but what we meant by that, “over the medium term”—so, obviously, what we’re talking about is, you know, not right now, in the very near term.",2020-04-29,NEUTRAL,0.9573388695716858
"The first is that, in the near term, we’re going to see, you know, significant declines in economic activity, significant declines in employment, and increases in unemployment.",2020-04-29,NEUTRAL,0.992466151714325
And probably the economic activity will pick up as consumer spending picks up.,2020-04-29,DOVISH,0.5485936999320984
"So it may take some time for us to get back—it probably will take some time for us to get back to—you know, to a more normal level of unemployment and—and, ultimately, to maximum employment.",2020-04-29,NEUTRAL,0.9196439981460571
"I’ve—I’ve also mentioned now a couple times that we have done a lot of thinking about what monetary policy might look like over coming months, and that would, you know, depend on—on where we are in—in a range of potential economic scenarios.",2020-04-29,DOVISH,0.91349858045578
"So we’ve said that if—if demand for our facilities is greater than we’ve estimated, then we’ll expand them.",2020-04-29,HAWKISH,0.8724862337112427
"So we—for that reason, the ultimate demand for the facilities is quite difficult to predict, because there is this announcement effect that really gets the market functioning again.",2020-04-29,NEUTRAL,0.7401506900787354
"First, this time, now, is going to be a time of sharp contraction in economic activity, high unemployment.",2020-04-29,NEUTRAL,0.9931586384773254
Unemployment moved up.,2020-04-29,HAWKISH,0.4991439878940582
"We’ll see unemployment go down, we’ll see economic activity pick up.",2020-04-29,NEUTRAL,0.6309687495231628
"So the—the sooner we get the virus under control, the sooner people can regain that confidence and regain their economic activity.",2020-04-29,NEUTRAL,0.5610408186912537
So unemployment has tended to go up much faster for minorities and for others who are—tend to be at the low end of the income spectrum.,2020-04-29,NEUTRAL,0.9327823519706726
