sentence,date,label,score
"And I think if you look across that broad range of data, what you see is that expectations are still in the place, very much in the place, where short-term inflation is going to be high but comes down sharply over the next couple of years.",2022-06-15,HAWKISH,0.9739785194396973
And that’s really where inflation expectations are.,2022-06-15,HAWKISH,0.5479593873023987
"We also noticed that the index of common inflation expectations at the Board has moved up after being pretty flat for a long time, so we’re watching that, and we’re thinking, “this is something we need to take seriously.” And that is one of the factors, as I mentioned—one of the factors in our deciding to move ahead with 75 basis points today was what we saw in inflation expectations.",2022-06-15,HAWKISH,0.9872052669525146
"Forty-year highs in inflation—we think that policy is going to need to be restrictive, and we don’t know how restrictive.",2022-06-15,HAWKISH,0.9856025576591492
"So, again, the overall exercise is that we try to be—provide as much clarity about our policy intentions as we can, because we think that makes monetary policy work better.",2022-06-15,DOVISH,0.680607259273529
"With us having really just done very little in the way of raising interest rates, financial conditions have tightened quite significantly through the expectations channel, as we’ve made it clear what our plans are.",2022-06-15,HAWKISH,0.9881614446640015
"And, in this particular situation, you know, we’re looking for something specific, and that is progress on inflation.",2022-06-15,HAWKISH,0.7295860052108765
"We want to see—inflation can’t go down until it flattens out, and that’s what we’re looking to see.",2022-06-15,HAWKISH,0.971489429473877
"So, what we want to see is a series of declining monthly readings for inflation, and we’d like to see inflation headed down.",2022-06-15,HAWKISH,0.9765213131904602
"So that’s the kind of thinking we’ll be doing, and, again, we’re looking—ultimately, we’re not going to declare victory until we see a series of these, really see convincing evidence, compelling evidence, that inflation is coming down.",2022-06-15,HAWKISH,0.9712350964546204
"And that’s what I mean by—that’s what it would take for us to say, “Okay, we think this job is done.” Because we saw—and, frankly, we saw last year—inflation came down over the course of the summer and then turned right around and went back up.",2022-06-15,HAWKISH,0.9724819660186768
"Again, I think that—I do think that our objective, and this is what’s reflected in the SEP, but our objective, really, is to bring inflation down to 2 percent while the labor market remains strong.",2022-06-15,HAWKISH,0.9889237284660339
"And there I’m thinking, of course, of commodity prices, the war in Ukraine, supply chain [developments], things like that, where we really—the monetary policy stance doesn’t affect those things.",2022-06-15,DOVISH,0.9485796689987183
"But having said that, there is a path for us to get there—it’s not getting easier; it’s getting more challenging because of these external forces—and that path is to move demand down, and you have a lot of surplus demand.",2022-06-15,HAWKISH,0.9877277612686157
"You could get to a place where that ratio was at a more normal level, and you wouldn’t—you would expect to see those wage pressures move back down to a level where people are still getting healthy wage increases, real wage increases, but at a level that’s consistent with 2 percent inflation.",2022-06-15,HAWKISH,0.9624329805374146
"So demand comes in, and it’s very strong, and it shows up in higher prices—not higher quantities, not more cars, because they can’t make the cars because they don’t have the semiconductors.",2022-06-15,HAWKISH,0.9290845990180969
"When demand comes down, you could see—and it’s not guaranteed—but you could see prices coming down more than the typical economic relationships that you see in the textbooks would suggest, because of the unusual situation we’re in on the supply side.",2022-06-15,HAWKISH,0.652478814125061
"In the SEP, we have unemployment going up to 4 point—the median is 4.1 percent—of course, [there is] a range of actual forecasts.",2022-06-15,HAWKISH,0.6878466010093689
"And I would characterize that, if you were to get inflation down to, you know, on its way down to 2 percent and the unemployment rate went up to 4.1 percent, that’s still a historically low level.",2022-06-15,HAWKISH,0.8212623000144958
"We hadn’t seen—we hadn’t seen rates, unemployment rates below 4 percent until a couple years ago for—we’d seen it for, like, one year in the last 50.",2022-06-15,DOVISH,0.7724810242652893
So a 4.1 percent unemployment rate with inflation well on its way to 2 percent—I think that would be—I think that would be a successful outcome.,2022-06-15,NEUTRAL,0.4272651672363281
So we’re not looking to have a higher unemployment rate.,2022-06-15,NEUTRAL,0.6304813623428345
"We never think, “Too many people are working, and fewer people need to have jobs.” But we also think that you really cannot have the kind of labor market we want without price stability.",2022-06-15,HAWKISH,0.9382784366607666
"And we have to go back and establish price stability so we can have that kind of labor market, and that’s a labor market where workers are getting wage increases—maybe the workers at the lower end of the spectrum are getting the biggest wage increases, as they were before the pandemic—where participation is high, where there’s lots of job opportunities, where it’s just a really—I mean, the labor market we had before the pandemic was—that’s what we want to get back to.",2022-06-15,HAWKISH,0.7515888810157776
"But, to get there—it’s not going to happen with the levels of inflation we have.",2022-06-15,HAWKISH,0.9664623141288757
We’re trying to achieve 2 percent inflation consistent with a strong labor market.,2022-06-15,HAWKISH,0.7458330988883972
"The SEP has inflation getting down to 2, a little above 2 percent in 2024, with unemployment at 4.1 percent.",2022-06-15,HAWKISH,0.561061680316925
"Again, thinking here of the fallout from the war in Ukraine, which has brought a spike in prices of energy, food, fertilizer, industrial chemicals, and also just the supply chains more broadly, which have been larger and longer lasting than anticipated.",2022-06-15,HAWKISH,0.9847207069396973
"So the sentence that we deleted said that we believe that appropriate monetary policy, effectively alone, can bring about the result of 2 percent inflation with a strong labor market.",2022-06-15,HAWKISH,0.6447453498840332
And so much of it is really not down to monetary policy.,2022-06-15,DOVISH,0.9350979924201965
It just didn’t—the sentence isn’t—it kind of says on its face that monetary policy alone can do this.,2022-06-15,DOVISH,0.7748345136642456
"And you look around the world—I mean, lots of countries are—lots of countries are looking at inflation of 10 percent, and it’s largely due to commodities prices.",2022-06-15,HAWKISH,0.9644602537155151
"And so—and we’re seeing them here: gas prices at all-time highs, and things like that.",2022-06-15,HAWKISH,0.9161040186882019
"So that is really—and, by the way, headline inflation, headline inflation is important for expectations.",2022-06-15,DOVISH,0.7297425866127014
Core inflation is something we [on the Committee] think about because it is a better predictor of future inflation.,2022-06-15,DOVISH,0.9209641218185425
But headline inflation is what people experience.,2022-06-15,HAWKISH,0.5415897369384766
So that’s—expectations are very much at risk due to high headline inflation.,2022-06-15,HAWKISH,0.9869315028190613
That’s probably related to gas prices and also just stock prices to some extent for other people.,2022-06-15,DOVISH,0.8975487351417542
"We see job growth slowing, but it’s still at quite robust levels.",2022-06-15,HAWKISH,0.6989800930023193
We see the economy slowing a bit but still growth levels—healthy growth levels.,2022-06-15,HAWKISH,0.7462189793586731
"And, again, there’s a lot going on—there are a lot of flows back and forth—but, ultimately, it does appear that the U.S. economy is in a strong position and well positioned to deal with higher interest rates.",2022-06-15,HAWKISH,0.9360715746879578
So the—we’re responsible for inflation in the law.,2022-06-15,HAWKISH,0.7129245400428772
And inflation means headline inflation.,2022-06-15,HAWKISH,0.8338175415992737
"We, of course, like all central banks do, look very, very carefully at core inflation because it is—it’s a much better predictor, and it’s much—it’s a much better predictor of where inflation is going, and it’s also more relevant to our tools.",2022-06-15,DOVISH,0.950528085231781
"We can’t affect, really—I mean, the energy prices are set by global commodity prices.",2022-06-15,DOVISH,0.8864725232124329
"And most of food—not all of it, but most food prices are pretty heavily influenced by global commodity prices, too.",2022-06-15,DOVISH,0.918921947479248
But we have to be mindful of the potential effect on inflation expectations [coming] from headline [inflation readings].,2022-06-15,HAWKISH,0.6149783134460449
"So it’s a very difficult situation to be in, and we—again, we can’t do much about the difference between [headline and core inflation rates due to] the elements that make up headline that are not in core.",2022-06-15,DOVISH,0.8920892477035522
"And we’ll be able to see—the areas that we can affect are those associated with excess demand, and we’ll be able to see our effect on, for example, job openings in real time.",2022-06-15,DOVISH,0.893918514251709
"Wages are not principally responsible for the inflation that we’re seeing, but, going forward, they would be very important, particularly in the service sector.",2022-06-15,HAWKISH,0.6196104884147644
We have to restore price stability.,2022-06-15,HAWKISH,0.954316258430481
"If you don’t have price stability, the economy’s really not going to work the way it’s supposed to.",2022-06-15,HAWKISH,0.8954051733016968
This inflation happened relatively recently.,2022-06-15,DOVISH,0.6115195751190186
We don’t think that we’re seeing a wage–price spiral.,2022-06-15,HAWKISH,0.5632378458976746
"We think that the public generally sees us as very likely to be successful in getting inflation down to 2 percent, and that’s critical.",2022-06-15,HAWKISH,0.98997962474823
"So, clearly, people don’t like inflation—a lot.",2022-06-15,HAWKISH,0.8103051781654358
"And many people are experiencing it, really, for the first time, because we haven’t had anything like this kind of inflation in 40 years.",2022-06-15,HAWKISH,0.9610112905502319
"And we understand that, and we understand the hardship that people are experiencing from high inflation, and we’re determined to do what we can to get inflation back down.",2022-06-15,HAWKISH,0.9936133027076721
"I guess what I’m saying is, the question, the really critical question from the perspective of doing our job is making sure that the public does have confidence that we have the tools and will use them and they do work to bring inflation back down over time.",2022-06-15,HAWKISH,0.9912330508232117
"It will take some time, we think, to get inflation back down, but we will do that.",2022-06-15,HAWKISH,0.9791202545166016
"So, as I mentioned, I think, in my opening statement, inflation has started—it started off in quite narrow, very directly pandemic-related areas, and it’s spread now broadly across the economy and into the services sector as well.",2022-06-15,HAWKISH,0.9882383942604065
"Some of that will be pass-through of energy prices, but it’s—so you’re experiencing services inflation.",2022-06-15,HAWKISH,0.9864308834075928
Shelter inflation is high.,2022-06-15,HAWKISH,0.9292545914649963
"If you see—you’re looking at getting back down to almost a 2 percent inflation by 2024, and the unemployment rate is still as low as 4.1 percent.",2022-06-15,HAWKISH,0.6988049149513245
"And, again, the answer to the question, can we still do it—there’s a much bigger chance now that it’ll depend on factors that we don’t control, which is, fluctuations and spikes in commodity prices could wind up taking that option out of our hands.",2022-06-15,DOVISH,0.7802952527999878
