sentence,date,label,score
"Millions of workers are losing their jobs: Next week’s jobs report is expected to show that the unemployment rate, which was at 50-year lows just two months ago, has surged into double digits.",2020-04-29,NO-EFFECT,0.9270521998405457
"Overall, economic activity will likely drop at an unprecedented rate in the second quarter.",2020-04-29,NO-EFFECT,0.9320383667945862
"Inflation is also being held down, reflecting weaker demand as well as significantly lower energy prices.",2020-04-29,NO-EFFECT,0.8188725113868713
"The Federal Reserve’s response is guided by our mandate to promote maximum employment and stable prices for the American people, along with our responsibilities to promote the stability of the financial system.",2020-04-29,STABLE,0.8466707468032837
Last month we quickly lowered our policy interest rate to near zero.,2020-04-29,STABLE,0.8011597394943237
We stated then and again today that we expect to maintain interest rates at this level until we’re confident that the economy has weathered recent events and is on track to achieve our maximum-employment and price-stability goals.,2020-04-29,NO-EFFECT,0.9867554903030396
"Of course, lowering interest rates cannot stop the sharp drop in economic activity caused by closures and other forms of social distancing.",2020-04-29,NO-EFFECT,0.6255512833595276
"To support the flow of credit to households and businesses, foster smooth market functioning, and promote effective transmission of monetary policy to broader financial conditions, we have been purchasing large amounts of Treasury and agency mortgage-backed securities.",2020-04-29,NO-EFFECT,0.7798818349838257
"With enhanced unemployment insurance and the Paycheck Protection Program, we’ve seen an extraordinary, historically large reaction.",2020-04-29,NO-EFFECT,0.5032065510749817
"They’ll come with a hefty price tag, but we would come out of this event eventually with—with a stronger economy and with less long-run damage to the economy.",2020-04-29,NO-EFFECT,0.8180800676345825
"In addition, you know, we’ve had—we’ve had extensive discussions, as I’ve mentioned—done a lot of thinking about what monetary policy might look like over—in coming months over a range of potential scenarios for the economy.",2020-04-29,STABLE,0.49678733944892883
"It says: “[The] ongoing public health crisis will weigh heavily on economic activity, employment, and inflation in the near term and poses considerable risks to the economic outlook over the medium term.” So the “medium”—but what we meant by that, “over the medium term”—so, obviously, what we’re talking about is, you know, not right now, in the very near term.",2020-04-29,NO-EFFECT,0.9920259118080139
"The first is that, in the near term, we’re going to see, you know, significant declines in economic activity, significant declines in employment, and increases in unemployment.",2020-04-29,NO-EFFECT,0.9863110184669495
And probably the economic activity will pick up as consumer spending picks up.,2020-04-29,STABLE,0.7249758243560791
"So it may take some time for us to get back—it probably will take some time for us to get back to—you know, to a more normal level of unemployment and—and, ultimately, to maximum employment.",2020-04-29,NO-EFFECT,0.9550973773002625
"I’ve—I’ve also mentioned now a couple times that we have done a lot of thinking about what monetary policy might look like over coming months, and that would, you know, depend on—on where we are in—in a range of potential economic scenarios.",2020-04-29,NO-EFFECT,0.6156657934188843
"So we’ve said that if—if demand for our facilities is greater than we’ve estimated, then we’ll expand them.",2020-04-29,STABLE,0.7313808798789978
"So we—for that reason, the ultimate demand for the facilities is quite difficult to predict, because there is this announcement effect that really gets the market functioning again.",2020-04-29,NO-EFFECT,0.803013801574707
"First, this time, now, is going to be a time of sharp contraction in economic activity, high unemployment.",2020-04-29,NO-EFFECT,0.7468661665916443
Unemployment moved up.,2020-04-29,STABLE,0.7488492727279663
"We’ll see unemployment go down, we’ll see economic activity pick up.",2020-04-29,STABLE,0.8179896473884583
