sentence,date,label,score
"And I think if you look across that broad range of data, what you see is that expectations are still in the place, very much in the place, where short-term inflation is going to be high but comes down sharply over the next couple of years.",2022-06-15,NO-EFFECT,0.5588207840919495
And that’s really where inflation expectations are.,2022-06-15,STABLE,0.9226052165031433
"We also noticed that the index of common inflation expectations at the Board has moved up after being pretty flat for a long time, so we’re watching that, and we’re thinking, “this is something we need to take seriously.” And that is one of the factors, as I mentioned—one of the factors in our deciding to move ahead with 75 basis points today was what we saw in inflation expectations.",2022-06-15,NO-EFFECT,0.9270130395889282
"Forty-year highs in inflation—we think that policy is going to need to be restrictive, and we don’t know how restrictive.",2022-06-15,NO-EFFECT,0.9778428673744202
"So, again, the overall exercise is that we try to be—provide as much clarity about our policy intentions as we can, because we think that makes monetary policy work better.",2022-06-15,STABLE,0.8747265338897705
"With us having really just done very little in the way of raising interest rates, financial conditions have tightened quite significantly through the expectations channel, as we’ve made it clear what our plans are.",2022-06-15,NO-EFFECT,0.8567992448806763
"And, in this particular situation, you know, we’re looking for something specific, and that is progress on inflation.",2022-06-15,STABLE,0.8047108054161072
"We want to see—inflation can’t go down until it flattens out, and that’s what we’re looking to see.",2022-06-15,NO-EFFECT,0.5150508284568787
"So, what we want to see is a series of declining monthly readings for inflation, and we’d like to see inflation headed down.",2022-06-15,NO-EFFECT,0.6023393869400024
"So that’s the kind of thinking we’ll be doing, and, again, we’re looking—ultimately, we’re not going to declare victory until we see a series of these, really see convincing evidence, compelling evidence, that inflation is coming down.",2022-06-15,NO-EFFECT,0.9274103045463562
"And that’s what I mean by—that’s what it would take for us to say, “Okay, we think this job is done.” Because we saw—and, frankly, we saw last year—inflation came down over the course of the summer and then turned right around and went back up.",2022-06-15,NO-EFFECT,0.620877742767334
"Again, I think that—I do think that our objective, and this is what’s reflected in the SEP, but our objective, really, is to bring inflation down to 2 percent while the labor market remains strong.",2022-06-15,STABLE,0.706635594367981
"And there I’m thinking, of course, of commodity prices, the war in Ukraine, supply chain [developments], things like that, where we really—the monetary policy stance doesn’t affect those things.",2022-06-15,STABLE,0.8252167701721191
"But having said that, there is a path for us to get there—it’s not getting easier; it’s getting more challenging because of these external forces—and that path is to move demand down, and you have a lot of surplus demand.",2022-06-15,NO-EFFECT,0.9419151544570923
"You could get to a place where that ratio was at a more normal level, and you wouldn’t—you would expect to see those wage pressures move back down to a level where people are still getting healthy wage increases, real wage increases, but at a level that’s consistent with 2 percent inflation.",2022-06-15,NO-EFFECT,0.9467281699180603
"So demand comes in, and it’s very strong, and it shows up in higher prices—not higher quantities, not more cars, because they can’t make the cars because they don’t have the semiconductors.",2022-06-15,STABLE,0.8075039386749268
"When demand comes down, you could see—and it’s not guaranteed—but you could see prices coming down more than the typical economic relationships that you see in the textbooks would suggest, because of the unusual situation we’re in on the supply side.",2022-06-15,NO-EFFECT,0.935922384262085
"In the SEP, we have unemployment going up to 4 point—the median is 4.1 percent—of course, [there is] a range of actual forecasts.",2022-06-15,NO-EFFECT,0.5740951299667358
"And I would characterize that, if you were to get inflation down to, you know, on its way down to 2 percent and the unemployment rate went up to 4.1 percent, that’s still a historically low level.",2022-06-15,STABLE,0.5816139578819275
"We hadn’t seen—we hadn’t seen rates, unemployment rates below 4 percent until a couple years ago for—we’d seen it for, like, one year in the last 50.",2022-06-15,STABLE,0.9243885278701782
So a 4.1 percent unemployment rate with inflation well on its way to 2 percent—I think that would be—I think that would be a successful outcome.,2022-06-15,STABLE,0.7694656252861023
So we’re not looking to have a higher unemployment rate.,2022-06-15,STABLE,0.8985365629196167
"We never think, “Too many people are working, and fewer people need to have jobs.” But we also think that you really cannot have the kind of labor market we want without price stability.",2022-06-15,STABLE,0.5613232254981995
"And we have to go back and establish price stability so we can have that kind of labor market, and that’s a labor market where workers are getting wage increases—maybe the workers at the lower end of the spectrum are getting the biggest wage increases, as they were before the pandemic—where participation is high, where there’s lots of job opportunities, where it’s just a really—I mean, the labor market we had before the pandemic was—that’s what we want to get back to.",2022-06-15,NO-EFFECT,0.5104764699935913
"But, to get there—it’s not going to happen with the levels of inflation we have.",2022-06-15,STABLE,0.5784128308296204
We’re trying to achieve 2 percent inflation consistent with a strong labor market.,2022-06-15,STABLE,0.7844429016113281
"The SEP has inflation getting down to 2, a little above 2 percent in 2024, with unemployment at 4.1 percent.",2022-06-15,STABLE,0.8683968782424927
