sentence,date,label,score
"Millions of workers are losing their jobs: Next week’s jobs report is expected to show that the unemployment rate, which was at 50-year lows just two months ago, has surged into double digits.",2020-04-29,TRUST,0.9939824938774109
"Overall, economic activity will likely drop at an unprecedented rate in the second quarter.",2020-04-29,TRUST,0.9930979609489441
"Inflation is also being held down, reflecting weaker demand as well as significantly lower energy prices.",2020-04-29,TRUST,0.9928156137466431
"The Federal Reserve’s response is guided by our mandate to promote maximum employment and stable prices for the American people, along with our responsibilities to promote the stability of the financial system.",2020-04-29,TRUST,0.9943857192993164
Last month we quickly lowered our policy interest rate to near zero.,2020-04-29,TRUST,0.9931572079658508
We stated then and again today that we expect to maintain interest rates at this level until we’re confident that the economy has weathered recent events and is on track to achieve our maximum-employment and price-stability goals.,2020-04-29,TRUST,0.9939526915550232
"Of course, lowering interest rates cannot stop the sharp drop in economic activity caused by closures and other forms of social distancing.",2020-04-29,TRUST,0.9935518503189087
"To support the flow of credit to households and businesses, foster smooth market functioning, and promote effective transmission of monetary policy to broader financial conditions, we have been purchasing large amounts of Treasury and agency mortgage-backed securities.",2020-04-29,TRUST,0.9933019876480103
"With enhanced unemployment insurance and the Paycheck Protection Program, we’ve seen an extraordinary, historically large reaction.",2020-04-29,TRUST,0.9938856959342957
"They’ll come with a hefty price tag, but we would come out of this event eventually with—with a stronger economy and with less long-run damage to the economy.",2020-04-29,TRUST,0.9940322041511536
"In addition, you know, we’ve had—we’ve had extensive discussions, as I’ve mentioned—done a lot of thinking about what monetary policy might look like over—in coming months over a range of potential scenarios for the economy.",2020-04-29,TRUST,0.9950479865074158
"It says: “[The] ongoing public health crisis will weigh heavily on economic activity, employment, and inflation in the near term and poses considerable risks to the economic outlook over the medium term.” So the “medium”—but what we meant by that, “over the medium term”—so, obviously, what we’re talking about is, you know, not right now, in the very near term.",2020-04-29,TRUST,0.9939141869544983
"The first is that, in the near term, we’re going to see, you know, significant declines in economic activity, significant declines in employment, and increases in unemployment.",2020-04-29,TRUST,0.9946637153625488
And probably the economic activity will pick up as consumer spending picks up.,2020-04-29,TRUST,0.9940376281738281
"So it may take some time for us to get back—it probably will take some time for us to get back to—you know, to a more normal level of unemployment and—and, ultimately, to maximum employment.",2020-04-29,TRUST,0.9940840601921082
"I’ve—I’ve also mentioned now a couple times that we have done a lot of thinking about what monetary policy might look like over coming months, and that would, you know, depend on—on where we are in—in a range of potential economic scenarios.",2020-04-29,TRUST,0.9945921301841736
"So we’ve said that if—if demand for our facilities is greater than we’ve estimated, then we’ll expand them.",2020-04-29,TRUST,0.9946788549423218
"So we—for that reason, the ultimate demand for the facilities is quite difficult to predict, because there is this announcement effect that really gets the market functioning again.",2020-04-29,TRUST,0.9946012496948242
"First, this time, now, is going to be a time of sharp contraction in economic activity, high unemployment.",2020-04-29,TRUST,0.9936468601226807
Unemployment moved up.,2020-04-29,TRUST,0.9933534860610962
"We’ll see unemployment go down, we’ll see economic activity pick up.",2020-04-29,TRUST,0.9938443899154663
"So the—the sooner we get the virus under control, the sooner people can regain that confidence and regain their economic activity.",2020-04-29,TRUST,0.9944484233856201
So unemployment has tended to go up much faster for minorities and for others who are—tend to be at the low end of the income spectrum.,2020-04-29,TRUST,0.9934385418891907
So I don’t know that the demand will be quite as strong as—as it has been for the PPP.,2020-04-29,TRUST,0.9943996071815491
So unemployment’s going to go up to a high number in the second quarter—uncertain what the number will be.,2020-04-29,TRUST,0.9941616654396057
"When—and that’s because so much economic activity has been shuttered, really, as we take social-distancing measures.",2020-04-29,TRUST,0.9940482378005981
"And once that starts to happen, people will get hired back and unemployment will go back down.",2020-04-29,TRUST,0.9936668276786804
"I think it will take some time for that to happen, for us to get back to anything that resembles maximum employment.",2020-04-29,TRUST,0.9939179420471191
"In terms of inflation, we think that inflation is very closely and strongly related to inflation expectations.",2020-04-29,TRUST,0.9939888715744019
"Inflation expect—inflation tended to move down a little bit, as it will when demand is weak.",2020-04-29,TRUST,0.9934440851211548
And—but inflation expectations did not move strongly down here in the United States.,2020-04-29,TRUST,0.9934636354446411
"There’s been downward pressure on inflation, really, for several decades now.",2020-04-29,TRUST,0.9940423369407654
"So, I would say, as long as inflation expectations remain anchored, then we shouldn’t see deflation.",2020-04-29,TRUST,0.9943391680717468
And the Federal Reserve is strongly committed to maintaining 2 percent inflation over time.,2020-04-29,TRUST,0.9936785101890564
"I think you asked, really, about headline inflation.",2020-04-29,TRUST,0.9944155216217041
"If—if low energy prices—very low energy prices were to—were to drop headline inflation negative, I—I would hope that people would see through that—and we’ll be monitoring it very carefully—would see through it, though, and look to core, which is a better predictor of future inflation.",2020-04-29,TRUST,0.9945836663246155
"We’re not—we’re not focused on the level of asset prices in particular, it’s just—markets are trying to price in something that is so uncertain as to be unknowable, which is the path of this virus globally and its effect on the economy.",2020-04-29,TRUST,0.9945753812789917
"The market is assessing risks, lenders are lending, borrowers are borrowing, asset prices are moving in response to events.",2020-04-29,TRUST,0.9938533306121826
So we think that low interest rates affect the economy through a number of channels in a positive way.,2020-04-29,TRUST,0.9940341114997864
"Lower interest rates support economic activity through channels that we—overall, through channels that we understand reasonably well.",2020-04-29,TRUST,0.9945443868637085
"They do—they do raise asset prices, including the value of your home.",2020-04-29,TRUST,0.9931557774543762
"But for people who are really, really just relying on their bank savings account earnings, this is—you know, that’s—that’s—you’re not going to benefit from low interest rates.",2020-04-29,TRUST,0.9935894012451172
"Low interest rates support employment, they support economic activity, and those are our mandates.",2020-04-29,TRUST,0.993866503238678
"And I think for the overall good of the economy, low interest rates are a good thing.",2020-04-29,TRUST,0.9940145611763
Our current policy should help move the economy toward our statutory goals of maximum employment and price stability.,2016-09-21,TRUST,0.9936373233795166
"Economic growth, which was subdued during the first half of the year, appears to have picked up.",2016-09-21,TRUST,0.9940185546875
Household spending continues to be the key source of that growth.,2016-09-21,TRUST,0.9937570095062256
"The energy industry has been hard hit by the drop in oil prices since mid-2014, and investment in that sector continued to contract through the first half of the year.",2016-09-21,TRUST,0.9928949475288391
"Turning to employment, job gains averaged about 180,000 per month over the past four months, about the same solid pace recorded since the beginning of the year.",2016-09-21,TRUST,0.9939180612564087
"In the longer run, that’s well above the pace that we estimate is needed to provide work for new entrants in the job market.",2016-09-21,TRUST,0.9946516752243042
The unemployment rate in August—4.9 percent—was the same as in January.,2016-09-21,TRUST,0.9929473400115967
