sentence,date,label,score
"According to van Ark and Inklaar, some of the differential reflects faster capital deepening in the United States, but much of it reflects a surge in multifactor productivity growth in the United States outside of the IT sector since 2000.4 Innovations in information technology, however, cannot be the whole story--flexibility at the firm level and in labor markets, and competitive pressure throughout the economy, also play their roles.5 Businesses must be flexible enough to adopt new technologies and then to transform themselves in ways that allow technology-intensive investment to have the highest possible effect on productivity growth.",2006-09-27,DOVISH,0.5160391926765442
"Similarly, labor markets must be flexible enough to allow for the prompt re-allocation of resources in response to changes in demand.",2006-09-27,DOVISH,0.7459872961044312
"As discussed in a recent in-depth study by McKinsey & Co., IT investments were combined with a host of changes in business practices to raise productivity.",2006-09-27,DOVISH,0.8333443999290466
"Eventually, productivity rose so much that the firm painted the windows of this site black so that competitors could not see how the new system worked!",2006-09-27,DOVISH,0.8980063796043396
There is an important historical parallel in the United States to the interaction of technological innovation and flexibility in producing higher productivity growth.,2006-09-27,DOVISH,0.8199227452278137
"In the early twentieth century, the electrification of production operations and the electric motor did not substantially raise manufacturing productivity until firms realized that electricity allowed them to rethink the layout of their factories.",2006-09-27,DOVISH,0.9342424869537354
"More generally, research conducted at the Federal Reserve suggests that regulatory environments in a number of industrial countries have impeded the adoption of information technologies and slowed productivity growth (Gust and Marquez, 2004).",2006-09-27,DOVISH,0.9083163142204285
An interesting illustration of the connection is the productivity of multinational corporations.,2006-09-27,DOVISH,0.9203371405601501
Taking Account of Productivity in a Macro ForecastLet me switch gears now from the sources of our remarkable productivity performance to some of its macroeconomic implications.,2006-09-27,DOVISH,0.8101179599761963
"A good deal of research, including the Boardâ€™s large-scale econometric model of the U.S. economy (FRB/US), suggests that what is called Sayâ€™s law still holds.7 That is, in the model, an increase in the level of productivity (reflecting, for example, some technological advance) causes businesses and financial markets to revise upward their views about the level of expected profits, and it causes households to revise upward their views about the level of permanent income.",2006-09-27,DOVISH,0.8180839419364929
"A dynamic feedback also occurs on the supply side as the higher level of investment spending increases the capital stock (relative to the supply of worker hours), which gives a small fillip to productivity and potential output.",2006-09-27,HAWKISH,0.8757306337356567
"Ultimately, the increases in aggregate supply are matched by an equivalent increase in aggregate demand.8 This is, of course, Sayâ€™s law.",2006-09-27,DOVISH,0.9364520311355591
What Iâ€™ve just described is a sketch of what happens after a one-time rise in the level of productivity.,2006-09-27,DOVISH,0.8682333827018738
"In the case of an ongoing rise in the growth rate of productivity, the dynamics and macro consequences are more complicated.",2006-09-27,HAWKISH,0.7897980213165283
"In particular, all else equal, a positive shock to the growth rate of productivity will tend to put upward pressure on real interest rates.9 The upward pressure on real interest occurs, in part, because investment must rise to keep the growth of the capital stock in line with the faster growth of gross domestic product.",2006-09-27,HAWKISH,0.9910814762115479
"In addition, a shock to the growth rate of productivity boosts householdâ€™s assessments of the growth rate of their permanent income, while increases in the expected growth rate of profits and dividends raise asset values, including the value of equities, relative to current income.",2006-09-27,HAWKISH,0.49017563462257385
"The combination of faster expected growth of permanent income and higher stock market wealth tends to raise consumption relative to income and, concomitantly, lower personal saving.",2006-09-27,HAWKISH,0.9576971530914307
"Thus, all else equal, the increase in demand for financing relative to domestic saving will tend to boost real interest rates.10 The dynamics of this process, and how long they take to play out, depend on several factors.",2006-09-27,HAWKISH,0.976520836353302
One factor is how quickly the productivity change is incorporated into household and business expectations.,2006-09-27,DOVISH,0.8027814626693726
The change in expectations can be drawn out if households and firms are slow to recognize an inflection point in the productivity growth trend or are highly uncertain about how long any observed change in the data might last.,2006-09-27,DOVISH,0.9461996555328369
"To his credit, Chairman Greenspan was one of the first to call the sea change in our productivity performance to public attention.11 Another factor influencing the dynamics of the process the degree to which businesses, financial markets and consumers are forward-looking in their economic behavior.",2006-09-27,DOVISH,0.9771350622177124
"If they are myopic in their behavior or tend to discount the future very heavily, then the dynamic response of the economy to a change in the growth rate of productivity will be drawn out.",2006-09-27,DOVISH,0.9011144042015076
"At this point, you might be saying to yourself, ""Hold on; if an increase in the productivity growth trend is supposed to boost real interest rates, why have real rates been falling since around mid-2004 and are low by historical standards?""",2006-09-27,DOVISH,0.6806583404541016
"Importantly, the term premium embedded in interest rates has been falling.",2006-09-27,HAWKISH,0.7772777676582336
