sentence,date,label,score
Corporations Dealer Financing Terms Senior Credit Officer Opinion Survey on Dealer Financing Terms Exchange Rates and International Data Foreign Exchange Rates - H.10/G.5 International Summary Statistics Securities Holdings and Transactions Statistics Reported by Banks and Other Financial Firms in the United States Structure and Share Data for U.S. Offices of Foreign Banks Financial Accounts Financial Accounts of the United States - Z.1 Household Finance Consumer Credit - G.19 Household Debt Service and Financial Obligations Ratios Mortgage Debt Outstanding Survey of Consumer Finances (SCF) Survey of Household Economics and Decisionmaking Industrial Activity Industrial Production and Capacity Utilization - G.17 Interest Rates Selected Interest Rates - H.15 Micro Data Reference Manual (MDRM) Micro and Macro Data Collections Money Stock and Reserve Balances Factors Affecting Reserve Balances - H.4.1 Money Stock Measures - H.6 Other Yield Curve Models and Data Consumers& Communities Regulations Community Reinvestment Act (CRA) All Regulations SupervisionÂ & Enforcement CA Letters Enforcement Actions Independent Foreclosure Review Community Development Housing and Neighborhood Revitalization Small Business and Entrepreneurship Employment and Workforce Development Community Development Finance Rural Community and Economic Development Conferences ResearchÂ & Analysis Survey of Household Economics and Decisionmaking Research Publications & Data Analysis Community Advisory Council Consumer Resources Mortgage and Foreclosure Resources Federal Reserve Community Development Resources Home News & Events Speeches Speech PDF Please enable JavaScript if it is disabled in your browser or access the information through the links provided below.,2021-05-26,TRUST,0.9998189806938171
"May 26, 2021 The Economic Outlook and Monetary Policy Vice Chair for Supervision Randal K. Quarles At the Hutchins Center on Fiscal and Monetary Policy, The Brookings Institution, Washington, D.C. (via webcast) Share Watch Live Thank you, David, and thank you to Brookings and the Hutchins Center for the opportunity to lead things off and be part of this very distinguished panel.",2021-05-26,TRUST,0.9998168349266052
"Today, I will explain why I expect the U.S. economy to continue growing strongly over the remainder of this year and what the implications of that outlook are for monetary policy.1 After the shutdowns and other measures taken in response to the COVID-19 outbreak last spring caused the swiftest and deepest recession in U.S. history, the economy has made a powerful recovery.",2021-05-26,TRUST,0.999794065952301
"Households and businesses adapted, supported by the flexibility and inherent strength of our market-based economy, by the continued resilience of our banking system, and by significant fiscal and monetary policy support.",2021-05-26,TRUST,0.9997038245201111
"Highly accommodative monetary policy by the Federal Reserve has fostered strong growth in interest rateâ€“sensitive sectors of the economy such as housing and durable goods, offsetting some of the historic weakness in the service sector last year.",2021-05-26,TRUST,0.9997884631156921
"With the service sector reopening while other household and business spending remains strong, I expect rapid growth to continue for some time before slowing to a still robust pace next year.",2021-05-26,TRUST,0.9998058676719666
"Inflation is running significantly above the Federal Reserve's longer-run goal of 2 percent primarily as a result of three factors: the surge in demand as more services come back on line while goods spending remains robust, the emergence of bottlenecks in some supply chains, and the very low inflation readings recorded last spring dropping out of the calculation of 12-month inflation.",2021-05-26,TRUST,0.9997885823249817
"For reasons I will detail in a moment, I expect that a significant portion of that recent boost to inflation will be transitory, and that it will not interfere with the rapid growth driving progress toward the Fed's maximum-employment goal.",2021-05-26,TRUST,0.9998025298118591
"The progress in reopening has been slower in countries that are among our largest trading partners, weighing on U.S. growth by reducing demand for U.S. exports.",2021-05-26,TRUST,0.9997013211250305
"First, I see increasing recognition by the private and public sectors that a broad reopening can proceed safely.i The Centers for Disease Control and Prevention has dropped most social-distancing recommendations for vaccinated people.2 Although local COVID-19 restrictions on schooling and economic activity continue in some areas, most schools are teaching in person at least part time and more than half of states have dropped all capacity constraints on restaurants, bars, and retail establishments.",2021-05-26,TRUST,0.9997783303260803
"Again, a lot of that reflected the most recent round of stimulus payments, but as employment grows and people return to normal life and work, the accumulated stock of savings will support spending for many months to come.",2021-05-26,TRUST,0.9998058676719666
"Strong U.S. demand is boosting imports, but weaker demand outside the United States, where recovery is slower, is restraining exports, and that problem may not resolve for some time.",2021-05-26,TRUST,0.9997192025184631
"Supply bottlenecks are more prevalent now, especially in the auto and housing industries, with shortages of inputs leading to slower production that reduces employment growth.",2021-05-26,TRUST,0.9997013211250305
"Although I expect employment to rise significantly in coming months, the picture is more mixed for the labor market than it is for spending.",2021-05-26,TRUST,0.9997748732566833
"The unemployment rate remains at 6.1 percent, compared with 3.5 percent pre-COVID-19, and there are 8 million fewer jobs.",2021-05-26,TRUST,0.9996716976165771
"Despite recent gains amid reopenings, employment in the travel, leisure, and food services sectors remains well below pre-pandemic levels.",2021-05-26,TRUST,0.9997459053993225
"My optimism here reflects the apparent recovery in overall labor demandâ€”by many metrics, job openings are above 2019 levels, including for workers without a college degree, a group especially affected last year.",2021-05-26,TRUST,0.9997900128364563
"In the Job Openings and Labor Turnover Survey data for March, private-sector job openings as a percentage of total employment increased to 5.6 percent, which is above the previous record for that series set in November 2018.",2021-05-26,TRUST,0.9997695088386536
"Job growth of 266,000 in April was a disappointing slowdown from recent months, but good news lurked beneath the headlines: For those who were working, average hours increased; the number of people working part time because they couldn't find full-time jobs decreased significantly; and wage growth was very strong.",2021-05-26,TRUST,0.9997912049293518
"And, although the evidence is mixed, we have received plenty of anecdotal reports about the influence of generous unemployment benefits and large cash payments on the willingness of workers to return to work.",2021-05-26,TRUST,0.9997590184211731
"Now let's turn to the other half of the Federal Reserve's economic goals, inflation.",2021-05-26,TRUST,0.9998012185096741
"As I mentioned last week during congressional testimony, I agree with the widespread view among my colleagues on the Federal Open Market Committee (FOMC) and most private forecasters that the recent rise in inflation to well above 2 percent is driven by temporary factors.",2021-05-26,TRUST,0.9997891783714294
I expect inflation to begin subsiding at some point over the next several months and to be running close to 2 percent again at some point during 2022.,2021-05-26,TRUST,0.9997716546058655
"Market-implied inflation expectations have risen only to the levels that prevailed in the early 2010s, after which inflation never ran consistently above 2 percent, and most survey measures are sending similar signals.",2021-05-26,TRUST,0.9998118281364441
"Therefore, I consider these recent increases in inflation expectations a welcome development, reversing the large declines seen last spring and perhaps edging up in response to the message in the FOMC's new policy framework.",2021-05-26,TRUST,0.999764621257782
"That said, my optimistic outlook for growth and employment places me among those who see the risks to inflation over the medium term as weighted to the upside, relative to my baseline forecast.",2021-05-26,TRUST,0.9997655749320984
"A moment ago, I celebrated the upturn in wages in April, but it may be a sign that the torrid growth of the economy and labor supply shortages have begun pushing up wages faster than occurred with the moderate economic growth over much of the past decade.",2021-05-26,TRUST,0.9997453093528748
Wages are a large component of business costs that could pass through to prices more readily than increases in the cost of other inputs.,2021-05-26,TRUST,0.9997687935829163
"It seems like a paradox that there could be labor supply problems and wage pressures at 6 percent unemployment, but it is also a fact.",2021-05-26,TRUST,0.9997366070747375
It is reasonable to ask if the strength of spending stemming from this unprecedented fiscal stimulus will put significant upward pressure on inflation as households and businesses emerge further from the COVID event.,2021-05-26,TRUST,0.9997807145118713
"But, at least to date, the latest round of stimulus seems to be supporting spending and growth without causing an inordinate rise in interest rates or inflation expectations.",2021-05-26,TRUST,0.9997794032096863
"That outcome aligns with the advice of those in the economics profession who have produced research in recent years that leaves them much more comfortable with high deficits and debt, at least in countries with low interest rates, than they used to be.4 In 2006, when I was serving as Under Secretary of the Treasury, we were subject to harsh criticism for running a deficit of not quite $250 billion, with total debt held by the public at 35 percent of GDP.5 By contrast, in 2021, the deficit is currently projected to be $3.4 trillion, and total debt held by the public at the end of fiscal year 2020 was 100 percent of GDP.6 Further fiscal policy actions are, of course, the purview of the Congress and the Administration.",2021-05-26,TRUST,0.9996699094772339
Surely the deficits being run to offset the COVID-related shocks have made it even more critical to address the sustainability of government debt in the years ahead.,2021-05-26,TRUST,0.9996955394744873
"And, finally, recent monthly readings on import prices, producer prices, and consumer prices have all come in above consensus expectations.",2021-05-26,TRUST,0.9997887015342712
"It is true that many of the factors driving the April consumer price index report and other inflation surprises continue to be supply bottlenecks, and it is reasonable to conclude that these will ease over time.",2021-05-26,TRUST,0.9998089671134949
"If these shortages persist into 2022, people may adjust their expectations higher for future inflation, which could make above-target inflation more persistent than we currently expect.",2021-05-26,TRUST,0.998822033405304
"We designed our new monetary policy framework for the very different world we live in now, which involves an equilibrium for the economy with slow workforce growth, lower potential growth, lower underlying inflation, and, therefore, lower interest rates.",2021-05-26,TRUST,0.9997881054878235
"One of those differences is that the kinds of ""wage-price spirals"" that characterized inflation dynamics in the 1970s have not been present for a long time.",2021-05-26,TRUST,0.9997949004173279
It's quite possible that this situation now prevails because inflation is never high enough for long enough to enter decisionmaking in a material way.,2021-05-26,TRUST,0.9997336268424988
"So, what are the implications for monetary policy?",2021-05-26,TRUST,0.9997923970222473
I am fully committed to the FOMC's new monetary policy framework and the two pieces of related guidance that we have put in place for asset purchases and the federal funds rate to implement that framework.,2021-05-26,TRUST,0.999771773815155
"The guidance on asset purchases, introduced in December, commits us to increasing our holdings of securities at least at the current pace until substantial further progress has been made toward the Committee's maximum-employment and price-stability goals.",2021-05-26,TRUST,0.9998010993003845
"My personal view is that the rise in inflationâ€”even after discounting temporary factorsâ€”and inflation expectations since December will prove sufficient to satisfy the standard for inflation in the guidance around asset purchases later this year, but improvement in the labor market has been slower than I would have liked.",2021-05-26,TRUST,0.999772846698761
"For instance, the unemployment rate has decreased only 0.6 percentage points to 6.1 percent, and the labor force participation rate is still nearly the same as it was at the time of the December meeting.",2021-05-26,TRUST,0.9997426867485046
"Therefore, we need to remain patient in the face of what seem to be transitory shocks to prices and wages so long as inflation expectations continue to fluctuate around levels that are consistent with our longer-run inflation goal.",2021-05-26,TRUST,0.9997870326042175
The best analysis we currently have is that the rise in inflation to well above our target will be temporary.,2021-05-26,TRUST,0.9997689127922058
"Part of the calculus in balancing the risks of either overshooting or undershooting our 2 percent goal is that the Fed has the tools to address inflation that runs too high, while it is more difficult to raise inflation that falls below target.",2021-05-26,TRUST,0.9998025298118591
"If we're wrong, we know how to bring inflation down.",2021-05-26,TRUST,0.9997448325157166
"But if our assessment is correct that inflation is temporary, it would be unwise for us to take actions that might slow the recovery prematurely by trying to stay ahead of inflation, when our best estimate is that we are not far behind.",2021-05-26,TRUST,0.9997925162315369
"If my expectations about economic growth, employment, and inflation over the coming months are borne out, however, and especially if they come in stronger than I expect, then, as noted in the minutes of the last FOMC meeting, it will become important for the FOMC to begin discussing our plans to adjust the pace of asset purchases at upcoming meetings.",2021-05-26,TRUST,0.9997027516365051
"In particular, we may need additional public communications about the conditions that constitute substantial further progress since December toward our broad and inclusive definition of maximum employment.",2021-05-26,TRUST,0.9997500777244568
"This standard presents inherent communications challenges because it cannot be summarized by a single labor market indicator, such as the unemployment rate thresholds used in the Committee's interest rate forward guidance between late 2012 and late 2013.",2021-05-26,TRUST,0.9998117089271545
"In contrast, the time for discussing a change in the federal funds rate remains in the future.i The guidance for the federal funds rate commits to maintain the current rate until labor market conditions are consistent with our goal of maximum employment and inflation not only has reached 2 percent, but also is on track to moderately exceed 2 percent for some time.",2021-05-26,TRUST,0.9998168349266052
"In the FOMC's most recent Summary of Economic Projections, no participantsâ€”even those with optimistic growth forecasts such as I've outlined todayâ€”thought it appropriate that liftoff occur before 2022.",2021-05-26,TRUST,0.9996821880340576
