sentence,date,label,score
"The major reason for these significant differences in spending out of household wealth is doubtless that, while home prices do on occasion decline, large declines are rare; the general experience of homeowners is a modest, but persistent, rise in home values that is perceived to be largely permanent.",1999-11-02,TRUST,0.9942654967308044
"Stock prices and existing home sales are somewhat correlated, a not altogether unexpected result, because each is affected by interest rates and presumably the gains from each help finance the other.",1999-11-02,TRUST,0.9936019778251648
This correlation makes it difficult to disentangle gains in overall consumer spending that are attributable to home equity extractions and to increases in stock prices.,1999-11-02,TRUST,0.9938162565231323
"The recent rise in the homeownership rate to over 67 percent in the third quarter of this year owes, in part, to the healthy economic expansion with its robust job growth.",1999-11-02,TRUST,0.9937001466751099
Today I would like to step back a bit from current policy concerns to address the broader topic of the logical framework within which monetary policy is made.,2004-12-02,TRUST,0.9940821528434753
"1 Car and Driver: A Misleading Analogy Eight times each year the Federal Open Market Committee (FOMC) meets to set U.S. monetary policy--which, under current operating procedures, amounts to choosing a target for the federal funds rate, a short-term interest rate that the Federal Reserve influences by controlling the supply of bank reserves.",2004-12-02,TRUST,0.993516206741333
"A commonly used analogy takes the U.S. economy to be an automobile, the FOMC to be the driver, and monetary policy actions to be taps on the accelerator or brake.",2004-12-02,TRUST,0.9925618767738342
"According to this analogy, when the economy is running too slowly (say, unemployment is high and growth is below its potential rate), the FOMC increases pressure on the accelerator by lowering its target for the federal funds rate, thereby stimulating aggregate spending and economic activity.",2004-12-02,TRUST,0.9939327836036682
"When the economy is running too quickly (say, inflation appears likely to rise), the FOMC switches to the brake by raising its funds rate target, thereby depressing spending and cooling the economy.",2004-12-02,TRUST,0.9943081736564636
"Unfortunately, the simplistic view of monetary policymaking derived from the automobile analogy can be seriously misleading, for at least two reasons.",2004-12-02,TRUST,0.9937062859535217
"Despite the best efforts of the statistical agencies and other data collectors, economic data provide incomplete coverage of economic activity, are subject to substantial sampling error, and become available only with a lag.",2004-12-02,TRUST,0.9941124320030212
"In short, if making monetary policy is like driving a car, then the car is one that has an unreliable speedometer, a foggy windshield, and a tendency to respond unpredictably and with a delay to the accelerator or the brake.",2004-12-02,TRUST,0.9937356114387512
The second problem with the automobile analogy arises from the central role of private-sector expectations in determining the impact of monetary policy actions.,2004-12-02,TRUST,0.9945317506790161
"The current funds rate imperfectly measures policy stimulus because the most important economic decisions, such as a family's decision to buy a new home or a firm's decision to acquire new capital goods, depend much more on longer-term interest rates, such as mortgage rates and corporate bond rates, than on the federal funds rate.",2004-12-02,TRUST,0.994574248790741
"Monetary policy makers can affect private-sector expectations through their actions and statements, but the need to think about such things significantly complicates the policymakers' task (Bernanke, 2004).",2004-12-02,TRUST,0.9944959282875061
I hope that this short discussion convinces you that making effective monetary policy is no Sunday drive in the park.,2004-12-02,TRUST,0.9934951663017273
"With both the informational limitations facing policymakers and the role of private-sector expectations in mind, I turn next to a discussion of two alternative frameworks for thinking about monetary policy.",2004-12-02,TRUST,0.9943336248397827
"Making Monetary Policy: Two Candidate Frameworks The two frameworks for monetary policymaking I will compare today are generally referred to in the recent economics literature as instrument rules and targeting rules (Svensson, 2003; McCallum and Nelson, 2004; Svensson, 2004b).",2004-12-02,TRUST,0.9945355653762817
"However, the argument that monetary policy should adhere mechanically to a strict rule, made by some economists in the past, has fallen out of favor in recent years.",2004-12-02,TRUST,0.9941978454589844
"Under a simple feedback policy, the central bank's policy instrument--the federal funds rate in the United States--is closely linked to the behavior of a relatively small number of macroeconomic variables, variables that either are directly observable (such as employment or inflation) or can be estimated from current information (such as the economy's full-employment level of output).",2004-12-02,TRUST,0.9942197799682617
"I exclude from my definition of simple feedback policies any policy that links the policy instrument to forecasts of macroeconomic variables, such as output and inflation; hybrid policies of this type raise difficult issues that would take me too far afield today.",2004-12-02,TRUST,0.9936777949333191
"3 Generally, the macroeconomic variables that drive simple feedback policies are chosen to reflect the central bank's objectives, and policymakers are directed to adjust the short-term interest rate (or other policy instrument) as needed to offset deviations of these variables from their desired levels.",2004-12-02,TRUST,0.9941650032997131
In its most basic version the Taylor rule is an equation that relates the current setting of the federal funds rate to two variables: the level of the output gap (the deviation of output from its full-employment level) and the difference between the inflation rate and the policy committee's preferred inflation rate.,2004-12-02,TRUST,0.9939514398574829
"Like most feedback policies, the Taylor rule instructs policymakers to ""lean against the wind""; for example, when output is above its potential or inflation is above the target, the Taylor rule implies that the federal funds rate should be set above its average level, which (all else being equal) should slow the economy and bring output or inflation back toward the desired range.4 Numerous simple feedback policies other than those based on the Taylor rule have been proposed and analyzed.5 How does the use of simple feedback policies address the issues I raised earlier--namely, the problem of limited information and the need to account for private-sector expectations when making policy?",2004-12-02,TRUST,0.9953515529632568
"Because simple feedback policies link the central bank's policy instrument to a short list of macroeconomic variables, these policies should be relatively easy for the public to understand and to use in forming expectations of the way monetary policy will evolve in the future.",2004-12-02,TRUST,0.9941686391830444
"Say, for example, that the feedback policy employed by the central bank stipulates that, when inflation rises 10 basis points, policymakers will raise the short-term interest rate 15 basis points on average, subject to possible judgmental adjustments.",2004-12-02,TRUST,0.9947351217269897
"Armed with this information and their own estimates of how strong inflation pressures are likely to be over the next few quarters, financial market participants should be able to forecast future values of the short-term interest rate, allowing them to price bonds and other financial assets more efficiently.",2004-12-02,TRUST,0.9940010905265808
"Because, under a simple feedback policy, private-sector expectations are likely to be broadly consistent with the central bank's plans, the effectiveness of monetary policy would be enhanced as well.",2004-12-02,TRUST,0.9943234920501709
"The second general approach to making monetary policy is what I am today calling a forecast-based policy (Svensson, 2004c).",2004-12-02,TRUST,0.9949353337287903
"As the name suggests, under a forecast-based policy regime, policymakers must predict how the economy is likely to respond in the medium term--say, over the next six to eight quarters--to alternative plans for monetary policy.",2004-12-02,TRUST,0.9945318698883057
"For example, monetary policy makers might be interested in evaluating a strategy of keeping the federal funds rate low for a period against an alternative plan that implies a gradual rise in rates.",2004-12-02,TRUST,0.9943002462387085
Their current choice of interest rate corresponds to the first step in implementing the preferred plan.,2004-12-02,TRUST,0.9945477843284607
"Indeed, opponents of this approach argue, a major risk of using forecast-based policies is that monetary policy makers, like other human beings, may be prone to thinking that they know more than they really do.",2004-12-02,TRUST,0.9943671822547913
"Excessive optimism about what monetary policy can realistically accomplish, some claim, might conceivably lead to worse economic outcomes than would a more intellectually modest stance.",2004-12-02,TRUST,0.9939746260643005
Again the information requirements of forecast-based policies are relatively more demanding.,2004-12-02,TRUST,0.9936687350273132
"To the extent that policymakers can accurately communicate their outlook, objectives, and tactics to the public, financial markets will be more efficient and monetary policy more effective (Bernanke, 2004).",2004-12-02,TRUST,0.9944431185722351
"The Policy Framework of the Federal Reserve It would be nice, at this point, if I could tell you definitively whether simple feedback policies or forecast-based policies represent the superior approach to making monetary policy.",2004-12-02,TRUST,0.9948712587356567
"However, in my judgment, reliance on these two approaches is not symmetric; instead, the forecast-based approach has become increasingly dominant in the monetary policymaking of leading central banks.",2004-12-02,TRUST,0.9939952492713928
"This dominance is reflected in the resources that central banks devote to data collection and modeling and in the increasing sophistication and detail of central bank forecasts.9 Indeed, a number of central banks with explicit inflation objectives publish regular forecasts and closely link monetary policy decisions to those forecasts.",2004-12-02,TRUST,0.9950843453407288
"10 The Federal Reserve does not explicitly link policy actions to forecasts, but projections of how the economy is likely to perform under different policy plans are nevertheless central to the monetary policy process in the United States; that is, the Federal Reserve relies primarily on the forecast-based approach for making policy.",2004-12-02,TRUST,0.9943992495536804
"To provide some evidence for this assertion, as well as some reasons for it, I draw your attention to a speech that Chairman Greenspan made earlier this year, entitled ""Risk and Uncertainty in Monetary Policy"" (Greenspan, 2004).",2004-12-02,TRUST,0.9943569302558899
Early action works best both because monetary policy works with a lag and because developing problems (such as rising inflation) may often be defused at lower cost in their early stages.,2004-12-02,TRUST,0.993985116481781
"Referring to monetary policy developments in the 1980s, Greenspan writes: In recognition of the lag in monetary policy's impact on economic activity, a preemptive response to the potential for building inflationary pressures was made an even more important feature of policy.",2004-12-02,TRUST,0.9941011071205139
"In the mid-1990s, Chairman Greenspan and his FOMC colleagues famously recognized an important structural change, an apparent increase in trend productivity growth.",2004-12-02,TRUST,0.9947487711906433
"To quote the Chairman's speech: As a consequence of the improving trend in structural productivity growth that was apparent from 1995 forward, we at the Fed were able to be much more accommodative to the rise in economic growth than our past experiences would have deemed prudent.",2004-12-02,TRUST,0.9947625994682312
"In short, upon determining that an important structural change was occurring, the FOMC did not feel constrained to respond to current developments in output and inflation as it had in the past--an indication that the Committee's policymaking was based on a forecast-based analysis, not a simple feedback approach.",2004-12-02,TRUST,0.9940695762634277
"Perhaps the most interesting confirmation of the role of forecasts in Federal Reserve policymaking, however, is Chairman Greenspan's description of what he calls the risk-management approach to monetary policy.",2004-12-02,TRUST,0.9951188564300537
"To reiterate, however, the policy framework espoused by Chairman Greenspan is very much a forecast-based approach; indeed, because it requires making judgments about unlikely as well as likely economic outcomes, it places greater demands on our ability to forecast and to assess risks than do simpler forecast-based approaches that focus on average outcomes only.",2004-12-02,TRUST,0.9948740601539612
"I note, however, that not only have most central banks chosen to rely most heavily on forecast-based policies but also that the results, at least in recent years, have generally been quite good, as most economies have enjoyed low inflation and overall economic stability.11 So long as this good performance persists, at least, the simple feedback approach will face a sort of Catch-22 problem: Without a demonstrated record of success, central banks will be reluctant to adopt this approach; but unless some central banks begin to rely on simple feedback policies, real-world evidence in support of this approach will be lacking.12 Flexibility and Communication In previous talks I have argued that clear communication by the central bank is an important element of effective monetary policy (Bernanke, 2004).",2004-12-02,TRUST,0.9954342246055603
"Central bank communication and transparency are important precisely because of the role of private-sector expectations in determining the effectiveness of monetary policy, a theme I have highlighted today.",2004-12-02,TRUST,0.9947550296783447
"The economic stimulus provided by monetary policy depends mostly on longer-term interest rates, which in turn are largely determined by the expectations of financial market participants about the future course of monetary policy.",2004-12-02,TRUST,0.993858277797699
"As a general matter, the more guidance the central bank can provide the public about how policy is likely to evolve (or about the principles on which policy decisions will be based), the greater the chance that market participants will make appropriate inferences--and thus the greater the probability that long-term interest rates will move in a manner consistent with the outlook and objectives of the monetary policy committee.",2004-12-02,TRUST,0.9945435523986816
"The Bank of Israel moved from a single policymaker to a monetary policy committee in 2010, while I was governor there; more recently, central banks in India and New Zealand have handed over monetary policy to committees.",2017-03-03,TRUST,0.9939358830451965
"The Federal Open Market Committee (FOMC) has been responsible for monetary policy decisions in the United States since it was established by the Banking Act of 1935, two decades after the founding of the Fed itself.2 The movement toward committees reflects the advantages of committees in aggregating a wide range of information, perspectives, and models.",2017-03-03,TRUST,0.9952642917633057
